time,tc temp (C),tr temp (C),tr res (ohm),sr2124,x,y,r,theta
1664227061.6055577,0,0,0,8.608693,0.0101052,-4.95913e-05,0.0101052,-0.228
1664227066.6887805,0,0,0,8.601381,0.0101281,-1.90736e-05,0.0101357,-0.078
1664227071.7568867,0,0,0,8.601381,0.0101281,-1.52589e-05,0.0101357,-0.036
1664227076.8259466,0,0,0,8.601381,0.010254,-8.01091e-05,0.0102502,-0.486
1664227081.9018483,0,0,0,8.601381,0.0102196,0.0,0.0102273,-0.018
1664227086.9850862,0,0,0,8.616005,0.0101281,-0.000129701,0.0101205,-0.696
1664227092.049754,0,0,0,8.594069,0.0101891,-3.81473e-06,0.0101929,-0.018
1664227097.1177096,0,0,0,8.608693,0.0101433,-0.000133515,0.0101395,-0.732
1664227102.1775882,0,0,0,8.616005,0.0101815,1.90736e-05,0.0101929,0.096
1664227107.2600775,0,0,0,8.608693,0.0102158,-0.000133515,0.0102082,-0.768
1664227112.341868,0,0,0,8.616005,0.0102273,-0.000110627,0.0102234,-0.636
1664227117.4143343,0,0,0,8.616005,0.010212,7.62945e-06,0.0102196,0.018
1664227122.5057697,0,0,0,8.616005,0.0102387,-8.01091e-05,0.0102387,-0.486
1664227127.5981922,0,0,0,8.616005,0.010212,7.62945e-06,0.0102196,0.018
1664227132.672689,0,0,0,8.616005,0.0100899,-8.77385e-05,0.0100861,-0.432
1664227137.7399879,0,0,0,8.616005,0.010212,3.81473e-06,0.0102196,0.0
1664227142.8191795,0,0,0,8.608693,0.0101395,1.14442e-05,0.010151,0.096
1664227147.9006543,0,0,0,8.608693,0.0101433,-3.81473e-06,0.010151,0.0
1664227152.950568,0,0,0,8.608693,0.0101624,0.0,0.0101662,0.0
1664227158.0154817,0,0,0,8.616005,0.0102234,-3.81473e-06,0.0102311,-0.054
1664227163.089069,0,0,0,8.623316,0.0102006,1.14442e-05,0.0102082,0.036
1664227168.1700137,0,0,0,8.608693,0.01017,-0.000144959,0.0101662,-0.81
1664227173.230414,0,0,0,8.616005,0.0101662,-0.000141145,0.0101624,-0.792
1664227178.2916582,0,0,0,8.623316,0.0102082,-0.00013733,0.0102006,-0.786
1664227183.335453,0,0,0,8.616005,0.0101357,1.14442e-05,0.0101433,0.096
1664227188.4024434,0,0,0,8.601381,0.0102311,-0.000106812,0.0102273,-0.636
1664227193.4496677,0,0,0,8.601381,0.0101319,-0.000129701,0.0101243,-0.678
1664227198.503151,0,0,0,8.608693,0.01017,-0.000141145,0.0101662,-0.786
1664227203.5594084,0,0,0,8.601381,0.0102196,-0.000133515,0.0102082,-0.75
1664227208.6354043,0,0,0,8.601381,0.0102196,-0.000122071,0.010212,-0.69
1664227213.6833203,0,0,0,8.608693,0.01017,0.0,0.0101777,0.0
1664227218.7307732,0,0,0,8.608693,0.0102196,0.0,0.0102234,-0.018
1664227223.760863,0,0,0,8.616005,0.0100976,-3.05178e-05,0.0101014,-0.132
1664227228.8234766,0,0,0,8.608693,0.0101891,-0.000141145,0.0101815,-0.786
1664227233.8765893,0,0,0,8.623316,0.0101662,-0.000144959,0.0101624,-0.792
1664227238.9308183,0,0,0,8.608693,0.0102349,-1.14442e-05,0.0102425,-0.114
1664227244.0025055,0,0,0,8.608693,0.0102463,-3.43325e-05,0.0102502,-0.24
1664227249.0620844,0,0,0,8.623316,0.0102349,-4.95913e-05,0.0102387,-0.3
1664227254.1153297,0,0,0,8.608693,0.0102349,-0.000114441,0.0102273,-0.672
1664227259.1727552,0,0,0,8.608693,0.0101624,1.90736e-05,0.01017,0.114
1664227264.2424138,0,0,0,8.608693,0.010109,-5.3406e-05,0.010109,-0.264
1664227269.3065007,0,0,0,8.608693,0.0102234,-0.000114441,0.0102196,-0.672
1664227274.3658657,0,0,0,8.601381,0.0101433,-0.00013733,0.0101395,-0.732
1664227279.4133728,0,0,0,8.608693,0.0102234,-2.6703e-05,0.0102311,-0.168
1664227284.4675968,0,0,0,8.601381,0.0101014,-1.90736e-05,0.010109,-0.054
1664227289.5199354,0,0,0,8.608693,0.0102044,-0.000133515,0.0101967,-0.75
1664227294.5802517,0,0,0,8.601381,0.0102006,-0.000133515,0.0101929,-0.75
1664227299.6395395,0,0,0,8.601381,0.0101243,-0.000133515,0.0101166,-0.702
1664227304.7002358,0,0,0,8.601381,0.0101052,-8.77385e-05,0.0101052,-0.456
1664227309.7625551,0,0,0,8.608693,0.0101967,-7.62945e-06,0.0102044,-0.054
1664227314.814385,0,0,0,8.616005,0.0101739,1.90736e-05,0.0101815,0.096
1664227319.8647301,0,0,0,8.601381,0.0100976,-0.000102997,0.0100937,-0.528
1664227324.93231,0,0,0,8.608693,0.010109,-5.72207e-05,0.010109,-0.282
1664227329.9934037,0,0,0,8.601381,0.0102196,-0.000125886,0.010212,-0.714
1664227335.0555985,0,0,0,8.616005,0.0101891,-0.000133515,0.0101815,-0.768
1664227340.1224425,0,0,0,8.601381,0.0102463,-3.05178e-05,0.0102502,-0.204
1664227345.1627207,0,0,0,8.616005,0.0102196,-0.000122071,0.0102158,-0.69
1664227350.226939,0,0,0,8.608693,0.0101052,-8.77385e-05,0.0101052,-0.456
1664227355.2897618,0,0,0,8.608693,0.0101052,-0.000110627,0.0100976,-0.588
1664227360.3452625,0,0,0,8.616005,0.0102349,-0.000118256,0.0102273,-0.672
1664227365.4275048,0,0,0,8.630628,0.0101395,-0.000133515,0.0101319,-0.714
1664227370.488547,0,0,0,8.630628,0.0102196,3.81473e-06,0.0102273,0.0
1664227375.5673513,0,0,0,8.630628,0.0101472,-0.00013733,0.0101395,-0.756
1664227380.60773,0,0,0,8.608693,0.0102158,3.81473e-06,0.0102196,0.018
1664227385.6762614,0,0,0,8.616005,0.010109,-4.57766e-05,0.0101128,-0.21
1664227390.7289855,0,0,0,8.616005,0.0102044,1.14442e-05,0.010212,0.054
1664227395.8063807,0,0,0,8.608693,0.0101052,-5.3406e-05,0.010109,-0.264
1664227400.8810863,0,0,0,8.608693,0.0101929,-0.00013733,0.0101891,-0.786
1664227405.9526467,0,0,0,8.616005,0.0101967,1.14442e-05,0.0102044,0.078
1664227411.0056853,0,0,0,8.608693,0.0101052,-6.8665e-05,0.0101052,-0.318
1664227416.0570705,0,0,0,8.608693,0.0102196,-2.28883e-05,0.0102234,-0.15
1664227421.1484993,0,0,0,8.616005,0.0101052,-9.91826e-05,0.0101052,-0.492
1664227426.2253985,0,0,0,8.616005,0.0101052,-8.77385e-05,0.0101014,-0.456
1664227431.271569,0,0,0,8.623316,0.0101853,1.90736e-05,0.0101929,0.096
1664227436.3367817,0,0,0,8.623316,0.0101128,-7.62945e-06,0.0101205,0.0
1664227441.378643,0,0,0,8.623316,0.0101891,-0.000133515,0.0101815,-0.768
1664227446.4523666,0,0,0,8.645251,0.0101395,-7.62945e-06,0.0101472,-0.036
1664227451.5192285,0,0,0,8.637939,0.0101548,1.52589e-05,0.0101662,0.096
1664227456.5730293,0,0,0,8.652562,0.0101128,0.0,0.0101205,0.018
1664227461.621572,0,0,0,8.645251,0.0100937,-8.77385e-05,0.0100899,-0.456
1664227466.6527803,0,0,0,8.637939,0.0100937,-9.53679e-05,0.0100899,-0.492
1664227471.7298758,0,0,0,8.637939,0.0100861,-6.10356e-05,0.0100861,-0.282
1664227476.8123913,0,0,0,8.630628,0.0102425,-0.000102997,0.0102387,-0.6
1664227481.8550575,0,0,0,8.652562,0.0102349,-4.57766e-05,0.0102387,-0.282
1664227486.92045,0,0,0,8.637939,0.0101128,-7.62945e-06,0.0101166,0.0
1664227491.9848955,0,0,0,8.637939,0.0101624,-0.000141145,0.0101548,-0.774
1664227497.0352511,0,0,0,8.630628,0.0101014,-6.8665e-05,0.0101052,-0.318
1664227502.0732193,0,0,0,8.637939,0.0101929,-0.000141145,0.0101853,-0.786
1664227507.1441386,0,0,0,8.645251,0.0102082,-0.000129701,0.0102006,-0.732
1664227512.219097,0,0,0,8.630628,0.0101433,-3.81473e-06,0.010151,0.0
1664227517.298699,0,0,0,8.630628,0.0102082,-1.14442e-05,0.0102158,-0.078
1664227522.3585575,0,0,0,8.652562,0.0102311,-0.000102997,0.0102273,-0.618
1664227527.4050817,0,0,0,8.667186,0.0101967,1.14442e-05,0.0102082,0.054
1664227532.4859853,0,0,0,8.659874,0.0101243,-0.000118256,0.0101166,-0.624
1664227537.5677469,0,0,0,8.659874,0.0101662,1.90736e-05,0.01017,0.114
1664227542.6442215,0,0,0,8.652562,0.010151,-0.000141145,0.0101433,-0.774
1664227547.6893206,0,0,0,8.645251,0.0102158,-0.00013733,0.0102082,-0.786
1664227552.7637749,0,0,0,8.652562,0.0101128,-7.62945e-06,0.0101166,-0.018
1664227557.8344512,0,0,0,8.659874,0.0102158,-0.000133515,0.0102082,-0.768
1664227562.905672,0,0,0,8.645251,0.0102311,-3.43325e-05,0.0102349,-0.222
1664227567.9859257,0,0,0,8.637939,0.0101853,-0.000144959,0.0101739,-0.81
1664227573.042014,0,0,0,8.637939,0.0102273,-2.6703e-05,0.0102311,-0.168
1664227578.1057348,0,0,0,8.623316,0.0102311,-0.000114441,0.0102234,-0.654
1664227583.1798213,0,0,0,8.616005,0.010212,-1.14442e-05,0.0102196,-0.096
1664227588.2402184,0,0,0,8.630628,0.0102082,7.62945e-06,0.0102158,0.036
1664227593.302174,0,0,0,8.630628,0.0101205,-1.90736e-05,0.0101281,-0.078
1664227598.3343563,0,0,0,8.623316,0.0101586,0.0,0.0101662,0.018
1664227603.3901594,0,0,0,8.623316,0.0102196,3.81473e-06,0.0102234,0.0
1664227608.4385002,0,0,0,8.623316,0.0101014,-9.91826e-05,0.0100976,-0.492
1664227613.4933643,0,0,0,8.630628,0.0102349,-0.000106812,0.0102273,-0.636
1664227618.558369,0,0,0,8.652562,0.0101243,-1.90736e-05,0.0101319,-0.078
1664227623.629135,0,0,0,8.652562,0.0100976,-0.000102997,0.0100937,-0.51
1664227628.70001,0,0,0,8.637939,0.0101014,-5.72207e-05,0.0101052,-0.264
1664227633.7575815,0,0,0,8.645251,0.0102349,-9.91826e-05,0.0102311,-0.582
1664227638.7909806,0,0,0,8.652562,0.0102387,-4.95913e-05,0.0102387,-0.3
1664227643.8471723,0,0,0,8.637939,0.0101739,0.0,0.0101815,0.0
1664227648.9084399,0,0,0,8.623316,0.0100899,-5.3406e-05,0.0100899,-0.228
1664227653.9556677,0,0,0,8.630628,0.0102158,-0.000129701,0.0102082,-0.75
1664227659.0249546,0,0,0,8.616005,0.0102234,-0.000118256,0.0102196,-0.672
1664227664.0823824,0,0,0,8.630628,0.0101357,7.62945e-06,0.0101395,0.078
1664227669.1584296,0,0,0,8.630628,0.0101853,-0.000141145,0.0101777,-0.786
1664227674.223544,0,0,0,8.623316,0.0101014,-8.39238e-05,0.0101014,-0.414
1664227679.2996671,0,0,0,8.630628,0.0101014,-2.6703e-05,0.0101052,-0.114
1664227684.3475597,0,0,0,8.652562,0.01017,0.0,0.0101777,0.018
1664227689.4093657,0,0,0,8.630628,0.0102158,-0.000125886,0.0102082,-0.714
1664227694.4737403,0,0,0,8.674498,0.0101128,-0.000110627,0.0101128,-0.588
1664227699.5570266,0,0,0,8.681808,0.0102425,-2.6703e-05,0.0102463,-0.186
1664227704.6143162,0,0,0,8.681808,0.0102273,-7.62945e-06,0.0102349,-0.072
1664227709.6663098,0,0,0,8.68912,0.0102502,-6.10356e-05,0.0102502,-0.372
1664227714.7259786,0,0,0,8.681808,0.0101243,-0.000122071,0.0101166,-0.66
1664227719.798166,0,0,0,8.681808,0.0101395,-7.62945e-06,0.0101472,-0.018
1664227724.8634276,0,0,0,8.674498,0.0101014,-2.6703e-05,0.0101052,-0.096
1664227729.9262924,0,0,0,8.674498,0.0102196,0.0,0.0102234,-0.036
1664227734.9785573,0,0,0,8.667186,0.01017,0.0,0.0101777,0.0
1664227740.02651,0,0,0,8.659874,0.0101357,-1.14442e-05,0.0101395,-0.036
1664227745.0749958,0,0,0,8.667186,0.0100976,-3.81472e-05,0.0100976,-0.168
1664227750.150653,0,0,0,8.652562,0.0101777,-0.000144959,0.01017,-0.786
1664227755.2068925,0,0,0,8.659874,0.0102425,-5.3406e-05,0.0102425,-0.354
1664227760.2624779,0,0,0,8.674498,0.0100899,-6.48503e-05,0.0100899,-0.324
1664227765.3390784,0,0,0,8.674498,0.0101319,-0.000133515,0.0101205,-0.738
1664227770.4049559,0,0,0,8.674498,0.0101662,-0.000141145,0.0101624,-0.792
1664227775.4670475,0,0,0,8.659874,0.0101319,-0.000133515,0.0101243,-0.72
1664227780.5324657,0,0,0,8.645251,0.0100976,-9.91826e-05,0.0100937,-0.51
1664227785.5883238,0,0,0,8.652562,0.0100899,-6.10356e-05,0.0100899,-0.282
1664227790.6365032,0,0,0,8.645251,0.010109,-8.77385e-05,0.0101052,-0.456
1664227795.6999698,0,0,0,8.659874,0.0101281,-0.000125886,0.0101205,-0.66
1664227800.7655098,0,0,0,8.652562,0.0101014,-9.91826e-05,0.0100976,-0.51
1664227805.839513,0,0,0,8.652562,0.0100899,-6.10356e-05,0.0100899,-0.282
1664227810.9165506,0,0,0,8.659874,0.0101052,-6.10356e-05,0.0101052,-0.282
1664227815.9819083,0,0,0,8.667186,0.0102502,-5.72207e-05,0.0102502,-0.354
1664227821.038397,0,0,0,8.681808,0.0101395,-3.81473e-06,0.0101472,0.0
1664227826.080482,0,0,0,8.674498,0.0101128,-1.14442e-05,0.0101166,-0.018
1664227831.1364772,0,0,0,8.645251,0.0101205,-0.000125886,0.0101128,-0.678
1664227836.172276,0,0,0,8.645251,0.0102463,-3.05178e-05,0.0102463,-0.204
1664227841.2542322,0,0,0,8.637939,0.0101052,-5.72207e-05,0.0101052,-0.3
1664227846.3348875,0,0,0,8.667186,0.0102196,-0.000129701,0.0102158,-0.732
1664227851.402591,0,0,0,8.681808,0.0102425,-7.24797e-05,0.0102387,-0.444
1664227856.4769733,0,0,0,8.659874,0.0101205,-2.28883e-05,0.0101281,-0.096
1664227861.5567684,0,0,0,8.667186,0.0102425,-8.77385e-05,0.0102387,-0.522
1664227866.6329453,0,0,0,8.659874,0.0100976,-9.15532e-05,0.0100937,-0.474
1664227871.7150831,0,0,0,8.637939,0.0101128,-3.05178e-05,0.0101205,-0.132
1664227876.7975216,0,0,0,8.645251,0.0102425,-7.24797e-05,0.0102425,-0.426
1664227881.8797097,0,0,0,8.637939,0.0102387,-1.52589e-05,0.0102425,-0.114
