time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645229526.9026577,395659.24403446505,-0.0322634,-8.15434e-08,4.8828499999999995e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.91,174.516
1645229529.4821303,395659.24403446505,-0.0322634,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.922,174.516
1645229532.077094,395659.24403446505,-0.0322634,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.922,174.516
1645229534.6563492,395659.24403446505,-0.0322634,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.922,174.51
1645229537.2488842,395696.03425905714,-0.0322664,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.18486e-08,179.922,174.51
1645229539.8481736,395659.24403446505,-0.0322634,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.928,174.51
1645229542.4300275,395659.24403446505,-0.0322634,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.928,174.51
1645229545.0143964,395659.24403446505,-0.0322634,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.922,174.51
1645229547.6050663,395659.24403446505,-0.0322634,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.928,174.51
1645229550.1939695,395659.24403446505,-0.0322634,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.928,174.51
1645229552.7746637,395659.24403446505,-0.0322634,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.18486e-08,179.928,174.51
1645229555.359471,395955.4455931588,-0.0322634,-8.14824e-08,3.9673e-05,7.812559999999999e-09,0.0322603,8.17876e-08,179.928,174.51
1645229557.9407394,396030.3083856146,-0.0322695,-8.14824e-08,4.8828499999999995e-05,7.812559999999999e-09,0.0322664,8.17876e-08,179.91,174.486
1645229560.5234907,395992.2633599403,-0.0322664,-8.14824e-08,5.798379999999999e-05,7.812559999999999e-09,0.0322634,8.17876e-08,179.892,174.51
1645229563.115365,396030.3083856146,-0.0322695,-8.14824e-08,5.4931999999999995e-05,7.812559999999999e-09,0.0322664,8.17876e-08,179.904,174.51
1645229565.689304,395880.582800703,-0.0322573,-8.14824e-08,5.4931999999999995e-05,7.812559999999999e-09,0.0322542,8.17876e-08,179.898,174.51
1645229568.261396,395842.5377750287,-0.0322542,-8.14824e-08,4.5776600000000005e-05,7.812559999999999e-09,0.0322512,8.17876e-08,179.916,174.51
1645229570.8449872,395880.582800703,-0.0322573,-8.14824e-08,3.9673e-05,7.812559999999999e-09,0.0322542,8.17876e-08,179.928,174.51
1645229573.4191883,395734.05082446896,-0.0322695,-8.15434e-08,2.7465999999999998e-05,7.812559999999999e-09,0.0322664,8.18486e-08,179.946,174.486
1645229575.993941,395992.2633599403,-0.0322664,-8.14824e-08,3.66213e-05,7.812559999999999e-09,0.0322634,8.17876e-08,179.934,174.51
