time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644159381.4088345,23.2041301,22.3843342589517,1027.21411,-2240162.85
1644159382.606438,23.2074337,22.380415292305248,1027.20239,-2239732.15
1644159383.8059702,23.2105121,22.379271699058013,1027.19897,-2239117.88
1644159385.0030344,23.1990985,22.37947567342468,1027.19958,-2238985.21
1644159386.2003214,23.2006645,22.379682991574473,1027.2002,-2239091.78
1644159387.3978863,23.2096881,22.37890722012833,1027.19788,-2239305.65
1644159388.5967379,23.1986522,22.379315169009782,1027.1991,-2239627.53
1644159389.7969933,23.1864738,22.38221093068365,1027.20776,-2239812.92
1644159391.0088794,23.1917953,22.38143516194999,1027.20544,-2239534.86
1644159392.2055895,23.2022304,22.378947346258016,1027.198,-2239535.26
1644159393.405806,23.2099151,22.379111194597865,1027.19849,-2239350.79
1644159394.6057444,23.1995334,22.380987088250443,1027.2041,-2239166.17
1644159395.8023162,23.2042045,22.378455801015686,1027.19653,-2238955.05
1644159396.9991155,23.205635,22.378703245601173,1027.19727,-2239054.01
1644159398.1984549,23.212532,22.381802983436177,1027.20654,-2239179.42
1644159399.42519,23.2004508,22.379559269460017,1027.19983,-2239486.92
1644159400.6243525,23.1997318,22.3770279772262,1027.19226,-2239839.52
1644159401.833632,23.2057056,22.381191062133254,1027.20471,-2239973.41
1644159403.0451145,23.2092304,22.37959939555346,1027.19995,-2240212.12
1644159404.243282,23.2036647,22.380987088250443,1027.2041,-2240019.72
1644159405.435422,23.2015419,22.379803369827783,1027.20056,-2239401.27
1644159406.6322925,23.1848735,22.37796759928781,1027.19507,-2239267.02
1644159407.8262303,23.1991729,22.379315169009782,1027.1991,-2239242.03
1644159409.0214062,23.1965484,22.378415674858765,1027.19641,-2239261.84
1644159410.2223182,23.1924419,22.380415292305248,1027.20239,-2239351.11
1644159411.4231505,23.1861877,22.378131447849675,1027.19556,-2239342.05
1644159412.634588,23.1861381,22.379111194597865,1027.19849,-2239256.94
1644159413.8337188,23.1884021,22.38090683621526,1027.20386,-2238955.7
1644159415.0324912,23.198307,22.379559269460017,1027.19983,-2239273.92
1644159416.2305067,23.1855907,22.378659775612615,1027.19714,-2239803.67
1644159417.4281592,23.1798114,22.381518757758755,1027.20569,-2239892.98
1644159418.6301575,23.1931324,22.379803369827783,1027.20056,-2240442.49
1644159419.8281803,23.1960048,22.378335422538083,1027.19617,-2240484.44
1644159421.027754,23.1940364,22.37959939555346,1027.19995,-2240339.12
1644159422.2279384,23.1880626,22.38111081012064,1027.20447,-2240609.04
1644159423.4280577,23.1946163,22.379027598510767,1027.19824,-2240727.01
1644159424.6276922,23.1888351,22.378131447849675,1027.19556,-2241130.69
1644159425.829333,23.1957798,22.378863750152036,1027.19775,-2241382.25
1644159427.0301924,23.1913223,22.37808797782672,1027.19543,-2241221.31
1644159428.229304,23.1905097,22.380294914153833,1027.20203,-2240849.5
1644159429.4295514,23.1925716,22.379395421221734,1027.19934,-2240192.93
1644159430.625771,23.1865139,22.38143516194999,1027.20544,-2239479.98
1644159431.8274798,23.181118,22.381231188136088,1027.20483,-2239490.94
1644159433.0444078,23.1833629,22.38078311431023,1027.20349,-2239360.52
1644159434.2411516,23.1930141,22.37947567342468,1027.19958,-2239849.11
1644159435.4374454,23.1894893,22.377068103460164,1027.19238,-2240002.84
1644159436.6363423,23.1840896,22.376864128414102,1027.19177,-2239952.31
1644159437.8484426,23.1959095,22.375804126019215,1027.1886,-2239572.48
1644159439.0463986,23.2029514,22.37662002705399,1027.19104,-2239296.34
1644159440.2457879,23.1977958,22.378251826361243,1027.19592,-2238808.78
1644159441.4610314,23.198389,22.380090940018295,1027.20142,-2239039.41
1644159442.671267,23.1897907,22.377231952225927,1027.19287,-2238832.12
1644159443.8690825,23.2033119,22.378947346258016,1027.198,-2238872.8
1644159445.0677173,23.2143173,22.380375166256943,1027.20227,-2239130.56
1644159446.2621422,23.2044334,22.378743371742253,1027.19739,-2239351.99
1644159447.4597692,23.2127666,22.379315169009782,1027.1991,-2239310.44
1644159448.6712897,23.2167739,22.378703245601173,1027.19727,-2239447.3
1644159449.8654501,23.212017,22.376335799339028,1027.19019,-2239573.46
1644159451.0623968,23.2032699,22.38196683112886,1027.20703,-2239296.36
1644159452.259166,23.2111549,22.378703245601173,1027.19727,-2239328.43
1644159453.4677749,23.1946563,22.379803369827783,1027.20056,-2239796.01
1644159454.6673357,23.1892509,22.37678387592132,1027.19153,-2239835.06
1644159455.866545,23.1843318,22.377639902052632,1027.19409,-2239760.26
1644159457.0658624,23.1944084,22.37829195252739,1027.19604,-2239763.13
1644159458.2654302,23.2049713,22.378171574022442,1027.19568,-2239520.0
1644159459.4630873,23.1879234,22.37800772546969,1027.19519,-2239324.98
1644159460.658425,23.1954421,22.37800772546969,1027.19519,-2239264.9
1644159461.8558805,23.1910228,22.38159900972612,1027.20593,-2239221.39
1644159463.049926,23.1965637,22.37625220293106,1027.18994,-2238895.42
1644159464.2493818,23.1902446,22.37596797507145,1027.18909,-2238763.0
1644159465.4443061,23.1982307,22.37906772463383,1027.19836,-2238685.1
1644159466.639185,23.1917228,22.377151699773837,1027.19263,-2239257.26
1644159467.8363574,23.1897239,22.378659775612615,1027.19714,-2239636.02
1644159469.0338295,23.1957244,22.377843876879826,1027.1947,-2239682.66
1644159470.227787,23.1954898,22.376416051881726,1027.19043,-2239581.81
1644159471.4255846,23.188404,22.376660153310635,1027.19116,-2238959.59
1644159472.6244643,23.192007,22.37739580095447,1027.19336,-2238511.84
1644159473.8222442,23.1857833,22.375476427803413,1027.18762,-2239035.23
1644159475.0370796,23.1829547,22.377151699773837,1027.19263,-2239228.41
1644159476.234593,23.1955833,22.37653977453408,1027.1908,-2239608.45
1644159477.4328732,23.2012786,22.37653977453408,1027.1908,-2239941.12
1644159478.6325815,23.200447,22.379191446832387,1027.19873,-2239986.41
1644159479.8346286,23.2032871,22.378251826361243,1027.19592,-2239721.86
1644159481.0466309,23.2049331,22.374048598129836,1027.18335,-2239348.85
1644159482.2412732,23.1992607,22.37290499481178,1027.17993,-2239456.76
1644159483.4523933,23.1870574,22.37727207844861,1027.19299,-2239235.81
1644159484.6469822,23.189867,22.377191826000967,1027.19275,-2239366.96
1644159485.8447518,23.198698,22.374456549752857,1027.18457,-2239419.69
1644159487.0421689,23.1892948,22.373516923127973,1027.18176,-2239146.93
1644159488.2423005,23.1874485,22.374904627499813,1027.18591,-2239313.96
1644159489.43907,23.1936321,22.378579523319065,1027.1969,-2239186.81
1644159490.6343756,23.1902065,22.37759977585046,1027.19397,-2239270.95
1644159491.8453863,23.2025489,22.37694772475143,1027.19202,-2239152.91
1644159493.0423493,23.2011337,22.376579900795175,1027.19092,-2238851.57
1644159494.238345,23.1885528,22.37988696582514,1027.20081,-2238791.4
1644159495.4353046,23.1912899,22.376335799339028,1027.19019,-2239097.57
1644159496.6303673,23.2041854,22.3793552951169,1027.19922,-2239724.46
1644159497.8267636,23.1882991,22.37584425232122,1027.18872,-2239784.47
1644159499.0351627,23.1940917,22.37596797507145,1027.18909,-2239878.31
1644159500.2354631,23.1920776,22.37861964946698,1027.19702,-2239969.79
1644159501.434651,23.1936492,22.37959939555346,1027.19995,-2239683.77
1644159502.6353397,23.1998043,22.37486450114583,1027.18579,-2239550.2
1644159503.831303,23.1902599,22.37829195252739,1027.19604,-2239499.93
1644159505.0269144,23.1834392,22.37829195252739,1027.19604,-2238894.13
1644159506.2257376,23.1899414,22.376416051881726,1027.19043,-2238597.51
1644159507.4230692,23.1866588,22.37625220293106,1027.18994,-2238361.75
1644159508.6201868,23.1795101,22.37637592561141,1027.19031,-2238695.92
1644159509.8211334,23.1840019,22.378335422538083,1027.19617,-2238989.06
1644159511.018058,23.1785964,22.378823624017574,1027.19763,-2239229.02
1644159512.2166126,23.1843852,22.378947346258016,1027.198,-2239150.65
1644159513.4124777,23.1791076,22.377191826000967,1027.19275,-2239143.37
1644159514.6097808,23.176321,22.37694772475143,1027.19202,-2238823.83
1644159515.8073995,23.180231,22.37662002705399,1027.19104,-2238864.45
1644159517.035414,23.1670551,22.37768002825274,1027.19421,-2238865.58
1644159518.2364545,23.1657981,22.37437629699281,1027.18433,-2239195.43
1644159519.4317322,23.1757755,22.376335799339028,1027.19019,-2239204.94
1644159520.6317499,23.1793689,22.375068476755942,1027.1864,-2239397.05
1644159521.8308833,23.1734886,22.376743749671512,1027.19141,-2239202.3
1644159523.0295744,23.1795463,22.37384462223195,1027.18274,-2238977.6
1644159524.2283692,23.1703433,22.37494809771429,1027.18604,-2238995.09
1644159525.4423003,23.1714477,22.37690425465729,1027.19189,-2238673.87
1644159526.6423757,23.1723155,22.376579900795175,1027.19092,-2238711.11
1644159527.8414147,23.1731929,22.37731554852061,1027.19312,-2238857.71
