t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681586016.413461, 3.2, 3.949735e-05, -1.981095e-06, 3.936818e-05, 357.0703, 0, 0, 0, 0.0, 3.2, 0.985905, 0.0164796, 0.41968, 0.96
1681586022.1151116, -3.2, 4.582187e-05, -2.017636e-06, 4.517567e-05, 357.4741, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586027.8075478, 3.2, 4.033818e-05, -1.981095e-06, 4.071366e-05, 357.1131, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
1681586033.5269144, -3.2, 4.607777e-05, -2.090719e-06, 4.655558e-05, 357.5066, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586039.2081666, 3.2, 4.074031e-05, -1.944553e-06, 4.111887e-05, 357.3839, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586044.8936443, -3.2, 4.629712e-05, -1.944553e-06, 4.640947e-05, 357.5594, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586050.5961688, 3.2, 4.099622e-05, -2.054178e-06, 4.10495e-05, 357.1673, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586056.2949982, -3.2, 4.739386e-05, -1.981095e-06, 4.714459e-05, 357.6451, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586061.9897165, 3.2, 4.468857e-05, -1.944553e-06, 4.414978e-05, 357.3763, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586067.692032, -3.2, 4.669926e-05, -2.090719e-06, 4.706846e-05, 357.5415, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586073.3713138, 3.2, 4.13618e-05, -1.908012e-06, 4.148763e-05, 357.2795, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586079.0616822, -3.2, 4.549284e-05, -2.127261e-06, 4.568048e-05, 357.3666, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586100.9099643, 3.2, 1.401648e-05, -2.200344e-06, 1.353844e-05, 350.1774, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0164796, 0.41913, 0.96
