t,i,temp_desired,temp_tc,temp_therm,res_therm
1681906064.531885,23.39212613699239,0,23.7380981,16.92162428736899,1010.93909
1681906069.5362146,23.47529712714157,0,23.8719406,17.032168482363,1011.26721
1681906074.536746,23.558710203542326,0,23.9923648,17.12865669405049,1011.55365
1681906079.5455005,23.642217733436837,0,24.087799,17.224411215223988,1011.83795
1681906084.5716805,23.72595526573461,0,24.1753711,17.313845784808507,1012.10352
1681906089.6120806,23.809928931766763,0,24.2343006,17.39081114469624,1012.33209
1681906094.5929801,23.892978054259235,0,24.2785511,17.46376522073464,1012.54877
1681906099.59938,23.976583653662615,0,24.3089084,17.535681769087937,1012.76239
1681906104.5989652,24.05995458163223,0,24.3402347,17.59520391310492,1012.93921
1681906109.5992384,24.143229279889677,0,24.3703136,17.65798597978538,1013.12573
1681906114.609824,24.226823466990407,0,24.3807716,17.707680631076368,1013.27338
1681906119.6245778,24.31034074423116,0.02316918264769237,24.3899002,17.759175673601067,1013.42639
1681906124.628744,24.393659466479235,0.06466622043371187,24.3903884,17.8028834897426,1013.55627
1681906129.639271,24.477331823084768,0.11264487841947213,24.382843,17.84252378902358,1013.67407
1681906134.648509,24.560679525111134,0.16634191506043478,24.3684101,17.87916388278619,1013.78296
1681906139.6531062,24.64414985376002,0.217172922093101,24.3642578,17.914096246348894,1013.88678
1681906144.68428,24.72786761718394,0.27072922347597356,24.3593444,17.951738660723485,1013.99866
1681906149.6692464,24.811166276508583,0.3147770300510103,24.3762912,17.99282747206973,1014.12079
1681906154.6812196,24.894698216491953,0.34454191365618475,24.4239082,18.032558215887562,1014.23889
1681906159.6803155,24.977904635641988,0.3872344224235458,24.4481334,18.079741087616235,1014.37915
1681906164.6940458,25.061577854528043,0.4184269530259811,24.4977054,18.132013374398063,1014.53455
1681906169.7115006,25.144994145605978,0.4469567806635599,24.5537147,18.190931187961105,1014.70972
1681906174.7259128,25.22869366603495,0.4532248080103788,24.6537189,18.255591604293706,1014.90198
1681906179.74872,25.312397613102213,0.4617073851879814,24.7488117,18.32867986230002,1015.11932
1681906184.7570624,25.395712536547595,0.4547154603243636,24.872282,18.41188126515217,1015.36676
1681906189.761305,25.479178160403187,0.4351720137622377,25.0178985,18.50169932445509,1015.63391
1681906194.816922,25.563546274079894,0.41371974722835525,25.1653327,18.599466044778744,1015.92474
1681906199.7779498,25.646090580993906,0.38334788242183004,25.3245468,18.700237612017727,1016.22455
1681906204.7715158,25.729477304194386,0.35292598662693037,25.4811916,18.814201608183556,1016.56366
1681906209.7888849,25.81315934456787,0.32667945462024,25.6267452,18.92974685536617,1016.90753
1681906214.8078551,25.896504288886007,0.28270062900145787,25.8027362,19.046711344214792,1017.25568
1681906219.8035655,25.980070052518464,0.24375954980284412,25.9649429,19.159061997867486,1017.59015
1681906224.8227108,26.063605449571227,0.20432235706850732,26.1243171,19.283632581081495,1017.96106
1681906229.8350759,26.147036832545215,0.17012810424656308,26.2699718,19.39934760448571,1018.30566
1681906234.8678775,26.230911495262397,0.13310119729395065,26.4184627,19.514063747255083,1018.64734
1681906239.8172445,26.313630900754546,0.10129161455373595,26.5529479,19.63043992255017,1018.99402
1681906244.838792,26.397268412484742,0.08290231078978749,26.660139,19.738541335315638,1019.3161
1681906249.854464,26.480919128630575,0.07107867797283485,26.7537517,19.83556639332599,1019.60522
1681906254.8500676,26.564179068777975,0.06578066761640797,26.8341522,19.935306156284877,1019.90247
1681906259.8740766,26.647692658478036,0.06713718685713607,26.9021873,20.027718787491438,1020.17792
1681906264.8865354,26.73145359553299,0.08389247094266719,26.9418525,20.104417806876356,1020.40656
1681906269.9106784,26.814967209074908,0.10631663648526746,26.9726104,20.17742256486186,1020.62421
1681906274.9055834,26.898190603627775,0.13857174078008141,26.9869022,20.245915872084215,1020.82843
1681906279.8969378,26.9815400858462,0.16641885403544823,27.0129852,20.306441608366168,1021.00891
1681906284.912554,27.06521991290054,0.19767590968615614,27.0356349,20.36489670424877,1021.18323
1681906289.9144537,27.148306693607584,0.23964881487986794,27.0401821,20.425432570167978,1021.36377
1681906294.9329698,27.231932193015034,0.28600432526095754,27.0406875,20.473032173803492,1021.50574
1681906299.978524,27.316302122646583,0.330430234208985,27.0497035,20.531105000455216,1021.67896
1681906304.9512563,27.39910046455663,0.3595904027235841,27.0895595,20.581355912128792,1021.82886
1681906309.9534578,27.4825690169871,0.39703975436349703,27.116436,20.639460239611463,1022.0022
1681906314.969592,27.56613336202901,0.4296845437202662,27.1553173,20.69479813079887,1022.1673
1681906319.9780285,27.649561935637408,0.4496577189153996,27.2202644,20.7579237269443,1022.35565
1681906324.9864886,27.732801034027354,0.4727842514610565,27.2798957,20.824605972863953,1022.55463
1681906330.0081723,27.816484059864298,0.4911285754418191,27.3503417,20.896331601588475,1022.76868
1681906335.0078576,27.899826043818408,0.4945103571935166,27.4493751,20.973487750677137,1022.99896
1681906340.0215652,27.9834542095403,0.4960215068236133,27.5517024,21.059369044912092,1023.25531
1681906345.0229843,28.06682524877192,0.4862918651587207,27.6741657,21.152883775065835,1023.53448
1681906350.0208502,28.150175986661527,0.4729737762700621,27.8015823,21.249497688739773,1023.82294
1681906355.0240958,28.233622099930063,0.4524157279025821,27.9407863,21.353187683575563,1024.13257
1681906360.0409718,28.31716339784266,0.4261410140487108,28.0883541,21.460847033019935,1024.4541
1681906365.0818377,28.40129484134318,0.39493066539903826,28.2428989,21.571637066795155,1024.78503
1681906370.0794742,28.484531166130317,0.35685734444586553,28.4061985,21.687357057148013,1025.13074
1681906375.0949168,28.568096576108548,0.3234960207757865,28.5570411,21.805956582092655,1025.48511
1681906380.0953739,28.651414467865244,0.2834345139413568,28.7172031,21.924208736389055,1025.8385
1681906385.1165833,28.735037289037322,0.2458300329515694,28.8692798,22.037788071967586,1026.17798
1681906390.1309638,28.81868753231964,0.2179118902831303,28.9996891,22.151837913410102,1026.51892
1681906395.1312613,28.90203548865916,0.19099284816936918,29.1256923,22.260809715402743,1026.84473
1681906400.1498437,28.985541973485564,0.18455673640552017,29.2107734,22.3674343995291,1027.16357
1681906405.158652,29.069132906172687,0.1763087508839563,29.2993144,22.46788478375063,1027.46399
1681906410.1558864,29.152440458510334,0.17059275996679413,29.3825836,22.560729293917113,1027.7417
1681906415.1610124,29.235867120796456,0.16848292063549242,29.4590358,22.650339636596772,1028.00977
1681906420.166431,29.319285160277303,0.17051207688284853,29.5279617,22.7341034163779,1028.26038
1681906425.1672506,29.402662557337695,0.19566011184648724,29.5535011,22.80896487209504,1028.48438
1681906430.2378032,29.48706101772588,0.22221113480364757,29.5800743,22.881857112207587,1028.70251
1681906435.1868632,29.569594512357327,0.25013228541740606,29.6050167,22.942797180981174,1028.88489
1681906440.197749,29.653140717719012,0.28886696164663045,29.6131019,23.004340171394244,1029.06909
1681906445.2134976,29.736731833193716,0.32226933080632286,29.6349906,23.062861296718633,1029.24426
1681906450.220031,29.820095250978085,0.353416078472958,29.6638717,23.118237694184508,1029.41003
1681906455.219542,29.90366954602203,0.39470851680123414,29.6762676,23.169818748824984,1029.56445
1681906460.2486935,29.987265902731828,0.4367090975605661,29.6907367,23.22730781884254,1029.73657
1681906465.2511609,30.070864258184052,0.47591578202816787,29.7138271,23.277495130083484,1029.88684
1681906470.2780716,30.15442007181447,0.5072813781166065,29.7547016,23.338969594299876,1030.07092
1681906475.283472,30.237977848424528,0.5304685379760053,29.8131923,23.403661088328555,1030.26465
1681906480.2834706,30.321348955208077,0.5524530652479827,29.874916,23.46883426903249,1030.45984
1681906485.305124,30.40485048490168,0.5610773550962241,29.9633121,23.542110780138668,1030.67932
1681906490.324597,30.488615435336047,0.5620408538875198,30.0663318,23.622349869720185,1030.91968
1681906495.3402102,30.572098427985125,0.5569172153763131,30.1797389,23.704939843848017,1031.16711
1681906500.3105679,30.654941076014453,0.5474744031476289,30.2991466,23.79921435316018,1031.44958
1681906505.3214955,30.73862273491821,0.5317399534743124,30.4298324,23.898772162598434,1031.74792
1681906510.332219,30.822131743007912,0.5079036985943606,30.5734481,23.999784294741424,1032.05066
1681906515.3466146,30.905769862705483,0.47679080915985544,30.728218,24.10509565218844,1032.36633
1681906520.376697,30.989292822255706,0.4462461039691084,30.8783931,24.21943390722713,1032.70911
1681906525.366005,31.072497274452463,0.40786725773485094,31.0399761,24.335785035383136,1033.05798
1681906530.39339,31.156235613399758,0.3659718138910792,31.2050495,24.45045368320649,1033.40186
1681906535.3927596,31.239785712931567,0.3417812447732797,31.3323383,24.566117661967457,1033.74878
1681906540.3999074,31.323201519225055,0.30489943840064954,31.4815979,24.677533317674243,1034.08301
1681906545.4210246,31.406840254837288,0.27623141832614123,31.6122684,24.78929512843946,1034.41833
1681906550.4375978,31.490394316091155,0.25146028228404516,31.7331886,24.898603865810497,1034.74634
1681906555.4421034,31.57377970414759,0.23912957944435342,31.8284606,25.002322132479446,1035.05762
1681906560.4661717,31.657697643810526,0.2318998693602779,31.9139461,25.09508557492589,1035.33606
1681906565.4477065,31.74068086343409,0.23360403329967194,31.9815521,25.18547887807364,1035.60742
1681906570.4515972,31.824026538902537,0.23869449450645747,32.0437316,25.2668352162148,1035.85168
1681906575.4772093,31.907757017984007,0.25757695459351504,32.0809822,25.342291347180375,1036.07825
1681906580.4736702,31.991044765685018,0.28767579758614764,32.09869,25.41375379671501,1036.29285
1681906585.4845417,32.07442373233439,0.31670430921918996,32.1216506,25.478746549427466,1036.48804
1681906590.480183,32.15777840810419,0.35443221480669745,32.1308937,25.53649894453445,1036.6615
1681906595.485828,32.241194965416206,0.40301964259810846,32.123043,25.59168671140333,1036.82727
1681906600.4994204,32.324852981144204,0.44195004202115445,32.1382026,25.646750447786733,1036.99268
1681906605.5127223,32.40836721854807,0.4780709183406976,32.1618385,25.700385390584678,1037.15381
1681906610.5332227,32.49195031918487,0.5156628843443509,32.185604,25.7543824865037,1037.31604
1681906615.5453446,32.57560041941605,0.5523845493907911,32.2139511,25.808498706672705,1037.47864
1681906620.5367267,32.65887642102839,0.5804942557226718,32.2609062,25.869961988326647,1037.66333
1681906625.5998487,32.74306564129791,0.5995746835293247,32.3278846,25.93007908903441,1037.84399
1681906630.587099,32.8261330783109,0.6114314739935907,32.4081382,26.002418663310987,1038.0614
1681906635.5816543,32.90956251022618,0.6155577902068841,32.5036125,26.073653179040708,1038.27551
1681906640.5823138,32.99305063284836,0.612157982339185,32.6129074,26.15426142815756,1038.51782
1681906645.6027615,33.076559100522616,0.6040318369895246,32.7300491,26.24558069357271,1038.79236
1681906650.6166546,33.16004214085541,0.5899531274164935,32.8568954,26.33615684653171,1039.0647
1681906655.6323247,33.24374499914449,0.5671132869170998,32.9985733,26.43706974732538,1039.36816
1681906660.6381881,33.327234297964985,0.5363550019163619,33.1523513,26.541502809994284,1039.68225
1681906665.643948,33.41060718494059,0.5083826075276786,33.2973327,26.646934763692652,1039.99939
1681906670.6568534,33.49406600989303,0.4674896477512247,33.4640769,26.755515626449633,1040.32605
1681906675.663707,33.57769142188034,0.42666484385365033,33.6268844,26.872517908502875,1040.6781
1681906680.6839643,33.6612094302714,0.39349091706823003,33.7712326,26.989664185593234,1041.03064
1681906685.6849813,33.74476047553024,0.36258790183199374,33.9083824,27.096977997867857,1041.35364
1681906690.7369246,33.828781447782134,0.3391072347007016,34.0292472,27.209301662607444,1041.69177
1681906695.6914423,33.911534406715646,0.3200662774837952,34.1388244,27.30960862122267,1041.99377
1681906700.6985962,33.99478506443303,0.31213228045331365,34.2263641,27.407308259720928,1042.28796
1681906705.711823,34.07845746872228,0.30497583811613144,34.3126068,27.508766642194107,1042.59351
1681906710.7185664,34.161939742141975,0.3112885229348353,34.3728828,27.597359741997565,1042.86035
1681906715.7379649,34.245416039202624,0.32635816994522643,34.4176101,27.677271538096928,1043.10107
1681906720.7469647,34.328873330328875,0.3441064978130358,34.4590415,27.756285033121898,1043.33911
1681906725.765597,34.41249231693547,0.37821694236598474,34.4714813,27.822124171445036,1043.53748
1681906730.771039,34.49593378501536,0.4112884610313155,34.4891204,27.890871046465726,1043.74463
1681906735.7476206,34.57912874815267,0.45304329130378573,34.4931068,27.951631046393665,1043.92773
1681906740.775734,34.66277658738098,0.4899887625855036,34.5105018,28.017250136782028,1044.12549
1681906745.7750883,34.746150594923904,0.5226007062300622,34.539009,28.07467858200574,1044.29858
1681906750.7874508,34.82971898116074,0.5521384139879211,34.5762176,28.13056652280386,1044.46704
1681906755.8417113,34.91381217834752,0.5932455475509768,34.594223,28.1948326880964,1044.66077
1681906760.8171234,34.99679701127014,0.6240649848281706,34.6336708,28.25233006342564,1044.83411
1681906765.8362067,35.080312703027346,0.6421521456752086,34.7000808,28.320671539638987,1045.04016
1681906770.8268955,35.16379300552012,0.6603474295595981,34.7670097,28.39099305551691,1045.2522
1681906775.839278,35.247331935141496,0.6642981561757555,34.8619766,28.466566861623633,1045.4801
1681906780.8464468,35.330763798926284,0.6620803030413067,34.9679832,28.553548285571587,1045.74243
1681906785.8462505,35.41396198071442,0.653431583453235,35.0849304,28.63958778185489,1046.00195
1681906790.8635602,35.497656736745455,0.6315243899102534,35.2260627,28.733913888377632,1046.2865
1681906795.8833387,35.581237083647665,0.6044860426863385,35.3741073,28.835628544680393,1046.59338
1681906800.8977761,35.66477770604095,0.570921721662528,35.5314636,28.94602764913647,1046.92651
1681906805.8784337,35.74790485498708,0.5411446318498468,35.6776466,29.053053727299602,1047.24951
1681906810.9042938,35.83152409988047,0.5074097492175458,35.8288688,29.1611970761459,1047.57593
1681906815.8998823,35.91492620505295,0.4749227219301124,35.9742774,29.27477969982494,1047.91882
1681906820.9575877,35.99910587268473,0.4459494397326982,36.1107521,29.392106772934905,1048.27307
1681906825.9341393,36.08220859564743,0.4124191352030702,36.2524299,29.50557400484608,1048.61572
1681906830.9467385,36.16554753579101,0.3861593511696406,36.3776817,29.6148223277178,1048.94568
1681906835.945947,36.24887348609568,0.36623697847436365,36.4888534,29.719727846021968,1049.26257
1681906840.9415863,36.3323713282486,0.3572403302570373,36.5780601,29.81755192999107,1049.55811
1681906845.9556782,36.41583035983047,0.3539245047307067,36.6561012,29.910954850885084,1049.84033
1681906850.9594047,36.49926550981801,0.3588946699699256,36.7186279,29.99711906184017,1050.10071
1681906855.9611692,36.58256103791199,0.373104162464715,36.7644119,30.080361550233558,1050.35229
1681906860.9812005,36.66628114181162,0.4055797801105083,36.7775802,30.158632205424077,1050.58887
1681906865.9976685,36.749899882052354,0.4304887839058348,36.8084449,30.230106654405294,1050.80493
1681906871.0009048,36.83319312530161,0.4576616211630029,36.8371925,30.291684328547102,1050.99109
1681906876.0031693,36.916647452090196,0.4953429608595491,36.8486824,30.354344937206662,1051.18054
1681906881.0122118,37.00001675086619,0.5379511365191996,36.8541297,30.414175926498913,1051.36145
1681906886.0626912,37.08422295845947,0.5749810309500895,36.8748435,30.471336719018765,1051.5343
1681906891.026809,37.16706378656031,0.6042454356255074,36.9118766,30.526353687658535,1051.70068
1681906896.0327914,37.250558493508905,0.6368599464375249,36.9454002,30.58923885177335,1051.89087
1681906901.0365698,37.33383207914632,0.6705696362348922,36.9789962,30.650019286965527,1052.07471
1681906906.0485837,37.417406898711135,0.6928484825225075,37.0370864,30.717773069804174,1052.27966
1681906911.0710454,37.50098958211542,0.7068350221200008,37.1121978,30.788994553235078,1052.49512
1681906916.075215,37.58439262904129,0.7113930413089664,37.2054328,30.86383806194938,1052.72156
1681906921.0863407,37.66792435444793,0.7028090014500914,37.32341,30.947910540564315,1052.97595
1681906926.097728,37.75141475396754,0.6879090000590847,37.4516868,31.03524129981721,1053.24023
1681906931.105958,37.83477659421565,0.6676779256141406,37.5878944,31.13244349545779,1053.53442
1681906936.0948975,37.91812104182841,0.6309523079662336,37.7529487,31.23415182276577,1053.84229
1681906941.120692,38.001856452200826,0.6002076804176133,37.9031257,31.337170488235394,1054.15417
1681906946.1195638,38.08511736191711,0.5682940193236832,38.051876,31.45037916629586,1054.49695
1681906951.1719818,38.16954437293015,0.5267830331940542,38.2169265,31.56296279039272,1054.83789
1681906956.1410818,38.2523045559466,0.49411658489925214,38.3596839,31.66843768061995,1055.15735
