t,i,temp_desired,temp_tc,therm_res,therm_temp
1682472573.4952583,55,1,35.5102844,1033.05542,24.33493132150592
1682472574.996244,55,1,35.7360038,1033.52283,24.49078747297968
1682472576.4942377,55,1,35.9728088,1033.953,24.634196485124292
1682472577.9932303,55,1,36.2159805,1034.41699,24.78884854208755
1682472579.4952157,55,1,36.4341316,1034.88989,24.94643646222117
1682472580.9971962,55,1,36.6637268,1035.37048,25.106551917383666
1682472582.4991796,55,1,36.8889465,1035.80615,25.251671107557087
1682472583.9981744,55,1,37.1063232,1036.28723,25.411882409399368
1682472585.506138,55,1,37.3459129,1036.76843,25.572098314180057
1682472587.0051298,55,1,37.5701828,1037.25464,25.73394640751845
1682472588.5031238,55,1,37.7847862,1037.68665,25.87772231882161
1682472590.0001245,55,1,38.00885,1038.18372,26.043115450308655
1682472591.4961197,55,1,38.2270317,1038.67468,26.206438618028134
1682472592.9951112,55,1,38.446495,1039.12122,26.35495312708718
1682472594.4911106,55,1,38.6648139,1039.61572,26.519383231552055
1682472595.9841187,55,1,38.8787536,1040.1106,26.68390247406916
1682472597.4811146,55,1,39.0944786,1040.5575,26.832439143656675
1682472598.9801059,55,1,39.287548,1041.0542,26.99749231645886
1682472600.4791005,55,1,39.4998397,1041.55212,27.162913323142497
1682472601.9790869,55,1,39.7169609,1042.06274,27.332514533221858
1682472603.4760838,55,1,39.9249458,1042.5033,27.478813733512947
1682472604.97308,55,1,40.1187019,1043.0022,27.64445073453095
1682472606.483044,55,1,40.3286895,1043.49304,27.807375022392822
1682472607.9950006,55,1,40.5260543,1044.00623,27.977678975622776
1682472609.4919953,55,1,40.7180633,1044.4635,28.12939214382209
1682472610.9869976,55,1,40.9018554,1044.9624,28.294881303892033
1682472612.4839954,55,1,41.1045761,1045.45691,28.45887719522836
1682472613.978,55,1,41.2897148,1045.91907,28.61211141351469
1682472615.4749963,55,1,41.4866905,1046.4259,28.78011944968047
1682472616.9699976,55,1,41.6793708,1046.93335,28.948294246458392
1682472618.486942,55,1,41.8794898,1047.42017,29.109595595117828
1682472619.9849353,55,1,42.0630111,1047.87988,29.261881679187464
1682472621.479938,55,1,42.258152,1048.38586,29.42945869556139
1682472622.9769354,55,1,42.4312477,1048.88147,29.5935639565106
1682472624.4888906,55,1,42.6163825,1049.38733,29.7610251493353
1682472625.9838934,55,1,42.8001022,1049.82617,29.90626877247654
1682472627.4808893,55,1,42.9751968,1050.33289,30.073942838975128
1682472628.9768896,55,1,43.1518707,1050.83704,30.24072831344741
1682472630.479871,55,1,43.3292808,1051.28271,30.388135446640685
1682472632.0117745,55,1,43.5153045,1051.78394,30.553883764722965
1682472633.528723,55,1,43.6938858,1052.27576,30.716483839526095
1682472635.0526454,55,1,43.8690757,1052.76917,30.879573262556377
