t,i,temp_desired,temp_tc,temp_therm
1681774578.5843875,23.010089715531922,0.13171977133316856,23.2347259(1013.81769, 17.890849691042742)
1681774583.5973632,22.926632245591737,0.1805765889078259,23.2335853(1013.8183, 17.891054939647596)
1681774588.605245,22.84329272926992,0.21903206633698602,23.2088775(1013.80176, 17.885489653437162)
1681774593.6203628,22.7596180719251,0.2627867219055203,23.1910705(1013.76813, 17.874173887174152)
1681774598.620537,22.67629432301865,0.31589708828328056,23.188364(1013.72485, 17.859610842745987)
1681774603.6200984,22.592744620851136,0.3520172243092343,23.1491508(1013.66742, 17.84028608844328)
1681774608.6385546,22.509110812556205,0.3860233356297999,23.1037044(1013.59363, 17.815455556645404)
1681774613.6787076,22.425367355556745,0.4060213301003757,23.02956(1013.50824, 17.78672052267014)
1681774618.678719,22.34204204898224,0.423698124663072,22.9511337(1013.37164, 17.740750154466397)
1681774623.6882446,22.258512167345938,0.4388556755801975,22.8673782(1013.23694, 17.69541631742313)
1681774628.7086833,22.174901406180318,0.4461161022830775,22.7685184(1013.09186, 17.646585848226522)
1681774633.7106032,22.091510057659406,0.44545256760204743,22.6555957(1012.9043, 17.583452703173908)
1681774638.7097142,22.008000056158956,0.4377424294482982,22.5305385(1012.70605, 17.516715244618283)
1681774643.717832,21.924520810655213,0.4289788706249456,22.4054107(1012.4826, 17.441487203076207)
1681774648.7317355,21.841093703321075,0.4217588742089877,22.2853317(1012.24677, 17.36208268551751)
1681774653.7676394,21.757193776181794,0.4132353675072221,22.1638603(1011.99811, 17.278348763955304)
1681774658.7466033,21.67404246748632,0.3945219983251952,22.025753(1011.75513, 17.19651809326144)
1681774663.7512722,21.590558537057497,0.3770857776131677,21.8923091(1011.4682, 17.099873951435306)
1681774668.7877219,21.50689943255132,0.34984330939537955,21.742321(1011.17438, 17.00089562233266)
1681774673.7862585,21.423532800089774,0.3350629231239088,21.6195907(1010.89795, 16.907762948708676)
1681774678.797981,21.34003798187917,0.3178397251822306,21.4939537(1010.60516, 16.809105204594754)
1681774683.8127272,21.256459256223298,0.30149875205608884,21.3719024(1010.32141, 16.713480607683017)
1681774688.8242466,21.1729668142512,0.2801375974767185,21.2422142(1010.01892, 16.61152653443958)
1681774693.8282185,21.08953388155645,0.2626515942851826,21.1221771(1009.73273, 16.515053021854158)
1681774698.8243673,21.006067331842043,0.24837497794644792,21.009962(1009.44812, 16.419099247887658)
1681774703.8459997,20.922583067627208,0.23261165586318483,20.8962669(1009.16638, 16.324100420319922)
1681774708.8489976,20.83914607784297,0.2295209931870029,20.8082008(1008.88, 16.22752414629821)
1681774713.8678827,20.755534498106893,0.21231664451051813,20.6933021(1008.61749, 16.13898614989493)
1681774718.892122,20.67156658590978,0.21014353809100828,20.6081771(1008.35614, 16.050828526188536)
1681774723.8846316,20.58842903396632,0.20411480821358058,20.5165748(1008.11096, 15.96811544751698)
1681774728.9062707,20.504867188345848,0.20268310760355962,20.4337177(1007.86456, 15.884981173772358)
1681774733.9259925,20.421250836264548,0.2115557819706942,20.3703975(1007.6239, 15.803774237928046)
1681774738.912701,20.338149905414838,0.22011818494461166,20.3060226(1007.38898, 15.724495295472293)
1681774743.9081078,20.25460592131958,0.22868682145925168,20.2403297(1007.16443, 15.648707735887143)
1681774748.9249096,20.17104743740107,0.24358249690848705,20.1858215(1006.966, 15.581729226411086)
1681774753.957529,20.087400071036278,0.26276149680447103,20.1379871(1006.73108, 15.502425701433152)
1681774758.9649293,20.003909580122887,0.2774203877580952,20.0800094(1006.55054, 15.441473630198399)
1681774763.966005,19.92057940186208,0.2900163868419452,20.0170478(1006.35095, 15.37408405333265)
1681774768.9782138,19.83698551675822,0.3115408947535826,19.969839(1006.14807, 15.305577139452463)
1681774773.9642856,19.753738125375367,0.3329253773106239,19.9209976(1005.96307, 15.243102087589664)
1681774778.9788246,19.670148770224507,0.3595649760168266,19.8801536(1005.77258, 15.178767348194695)
1681774784.022267,19.586075401516215,0.38216808172368655,19.8290271(1005.56598, 15.108985194484358)
1681774789.0013077,19.503309118957773,0.3981631938779549,19.7652359(1005.37317, 15.043854675403399)
1681774794.013722,19.41981000921275,0.41495480102014815,19.7012481(1005.17255, 14.976079673475674)
1681774799.0203893,19.33621672810262,0.426964710310404,19.6270847(1004.95465, 14.90245973493575)
1681774804.028613,19.252771834742482,0.4426739657967367,19.5596675(1004.7533, 14.834424663489454)
1681774809.0436375,19.169163155765787,0.4612523934224836,19.4967823(1004.53741, 14.761469416680574)
1681774814.049599,19.085813439102427,0.4670298232766035,19.4088363(1004.30396, 14.68257178296239)
1681774819.0599961,19.002139802983855,0.4733967063210592,19.3218593(1004.06836, 14.602938702960635)
1681774824.0772564,18.918652876428226,0.47834325808245814,19.2325248(1003.84143, 14.52622770912704)
1681774829.0700297,18.83525514226303,0.4824824716084796,19.142065(1003.58905, 14.440903978821206)
1681774834.0890446,18.751756708037313,0.4855266460204066,19.049755(1003.35144, 14.360564331239475)
1681774839.0947113,18.668288974177297,0.49149531914205263,18.9634208(1003.08972, 14.272062266961854)
1681774844.1097584,18.58475180487976,0.4999754084844405,18.881937(1002.82135, 14.181300089121459)
1681774849.1516275,18.500812427412924,0.5063787237243118,18.7959556(1002.5553, 14.091311153097932)
1681774854.1315134,18.417611595204924,0.5050606949481886,18.6961898(1002.29071, 14.001804809327206)
1681774859.1253407,18.33431189875946,0.5051857259058309,18.5999031(1002.02039, 13.910348523654125)
1681774864.142747,18.250744533748883,0.5003337257647018,18.4944095(1001.74316, 13.816542244658573)
1681774869.1425893,18.167428446026104,0.5092057434754385,18.4163894(1001.4726, 13.724981014841184)
1681774874.145742,18.08409809292501,0.5039343076333407,18.3111305(1001.19354, 13.630530971218025)
1681774879.1535642,18.000654570471703,0.5119236995982024,18.2320938(1000.90271, 13.532083985545507)
1681774884.1657162,17.917095979264833,0.5161585692136778,18.1455459(1000.62512, 13.438106126291567)
1681774889.1754222,17.833562942556,0.5209779665041945,18.0603141(1000.34967, 13.344840534352686)
1681774894.1886065,17.750170286706542,0.5299055510943271,17.9830932(1000.05267, 13.244264598756523)
1681774899.2068417,17.666511965008038,0.5279254274585183,17.8845405(999.74823, 13.141154475563527)
1681774904.2059808,17.583044425856528,0.53396899138786,17.8022022(999.480957, 13.050620082380506)
1681774909.2144318,17.499561798782604,0.5416517056673569,17.7228832(999.200256, 12.955524804976172)
1681774914.260301,17.415564378312684,0.5469824906316195,17.6383056(998.917664, 12.859776095220726)
1681774919.2504828,17.332383422266897,0.5517610739756198,17.5536537(998.63678, 12.76459336007786)
1681774924.249124,17.24911125124639,0.5555110182047125,17.4669876(998.353943, 12.668735980186447)
1681774929.24605,17.16562322796529,0.5629513641461295,17.3872966(998.064758, 12.57071385380762)
1681774934.2687929,17.08218321423874,0.5729522236883022,17.3123149(997.779297, 12.473940798742731)
1681774939.289433,16.998437285633344,0.5805515219386924,17.2320518(997.49585, 12.377837505721935)
1681774944.2784398,16.915115873228963,0.580314071310159,17.1371536(997.21167, 12.281472681500837)
1681774949.297737,16.83143302223231,0.5949333456949013,17.0707073(996.939392, 12.189131578775847)
1681774954.3211899,16.747943564466098,0.597844174097202,16.9813327(996.659912, 12.094335526899776)
1681774959.2958286,16.664845510533908,0.5987696850087882,16.8889179(996.377319, 11.998470762968381)
1681774964.3228388,16.58118717294083,0.6056423336639748,16.8076457(996.09314, 11.902054968949196)
1681774969.3388364,16.49760422330246,0.6120494538713677,16.7254505(995.818665, 11.808919144432625)
1681774974.3445857,16.4141990782931,0.6191051789844587,16.6445999(995.52594, 11.709577246344816)
1681774979.3902886,16.330139792175547,0.6232465680007095,16.5573558(995.250916, 11.616229900379793)
1681774984.3658867,16.24713401418076,0.6332313140792619,16.4826183(994.981079, 11.524631209110844)
1681774989.3706605,16.163640344352977,0.637954017863519,16.3968734(994.695984, 11.427840245072284)
1681774994.3921037,16.07999517143911,0.6471577522247641,16.3196163(994.416748, 11.333025679996236)
1681774999.3981922,15.996556961746471,0.6537697805274211,16.2373619(994.130066, 11.235669687364146)
1681775004.4132621,15.913102456143953,0.6620905733358159,16.1582546(993.857544, 11.143110024185054)
1681775009.4172482,15.8295190733785,0.6760755365142148,16.0895957(993.582153, 11.04956370129281)
1681775014.4281983,15.745976694635011,0.6801488539645171,16.0013885(993.319824, 10.960442912947665)
1681775019.456163,15.662239579569754,0.6917624769544527,15.9275722(993.085266, 10.88074728743803)
1681775024.4575322,15.578892326565043,0.6961026727926816,15.8398571(992.766968, 10.772585095561208)
1681775029.481593,15.495112610073345,0.7098075801930942,15.7696714(992.482971, 10.676064986979261)
1681775034.4891908,15.411707155119833,0.7173035155277402,15.6874303(992.207092, 10.582291344005853)
1681775039.5100546,15.328052596461234,0.7275953174455088,15.6102495(991.94104, 10.491846269414722)
1681775044.5143766,15.244563865871685,0.7275767432042253,15.5132465(991.655334, 10.394706954190191)
1681775049.5290616,15.161082832228598,0.7397296539775758,15.4400796(991.387207, 10.303532380882055)
1681775054.5325422,15.077515125484721,0.7467675376463612,15.3565893(991.103027, 10.206886339248982)
1681775059.556651,14.994003236503856,0.7583023312241977,15.2817592(990.827576, 10.11319637754191)
1681775064.5431972,15,0.7186471919761258,15.1985197(990.554688, 10.020365996063015)
1681775069.555309,15,0.6808331319761257,15.1170396(990.272217, 9.924262917998986)
1681775074.5574057,15,0.6455463144761254,15.0442533(990.006042, 9.833692213939848)
1681775079.55977,15,0.6129247855001259,14.9800128(989.724976, 9.738042051088172)
1681775084.5736418,15,0.5671302169001177,14.893752(989.463684, 9.649109665942305)
1681775089.5914176,15,0.5235923972241153,14.8159103(989.189636, 9.555823729664484)
1681775094.5839622,15,0.4920424185921186,14.7645454(988.943481, 9.472022122342793)
1681775099.5927122,15,0.46244749791211426,14.719429(988.707092, 9.391535965370826)
