t,i,x,y,r,theta,xK,tc,therm,dc
1678919319.8552465, 3.2, 0.04913558, -7.850685e-05, 0.0024750609999999998, 0.3320825, 0, 0, 0, -12.0
1678919326.0978746, -3.2, 0.04913558, -7.850685e-05, 0.0024202635, 359.9078, 0, 0, 0, -12.0
1678919333.4988673, 3.2, 0.04584537, -7.850685e-05, 0.0023106539999999997, 0.3557262, 0, 0, 0, -13.0
1678919339.693353, -3.2, 0.046576525, -7.850685e-05, 0.0023106539999999997, 0.3829946, 0, 0, 0, -13.0
1678919347.1215477, 3.2, 0.042555155, 0.0002869087, 0.0019632995, 359.8833, 0, 0, 0, -14.0
1678919353.314964, -3.2, 0.038899365000000005, -7.850685e-05, 0.001999809, 0.9607335, 0, 0, 0, -14.0
1678919360.7439306, 3.2, 0.038899365000000005, 0.0002869087, 0.001945021, 359.8844, 0, 0, 0, -15.0
1678919366.9354353, -3.2, 0.038533785, 0.0002869087, 0.001945021, 0.4265958, 0, 0, 0, -15.0
1678919374.3640208, 3.2, 0.043286315, -0.00044392245, 0.002146085, 359.4023, 0, 0, 0, -16.0
1678919380.5560768, -3.2, 0.042555155, -7.850685e-05, 0.0021277615, 0.3862847, 0, 0, 0, -16.0
1678919387.9558668, 3.2, 0.04145842, -7.850685e-05, 0.002036367, 0.4036211, 0, 0, 0, -17.0
1678919394.174355, -3.2, 0.04036168, 0.0002869087, 0.0020182060000000003, 359.8885, 0, 0, 0, -17.0
1678919401.6169422, 3.2, 0.0399961, -7.850685e-05, 0.001999809, 359.8875, 0, 0, 0, -18.0
1678919407.828869, -3.2, 0.039630525, -0.00044392245, 0.0019815780000000003, 359.8865, 0, 0, 0, -18.0
1678919415.2471657, 3.2, 0.039264945, 0.0002869087, 0.00198153, 359.8865, 0, 0, 0, -19.0
1678919421.4263136, -3.2, 0.039630525, -7.850685e-05, 0.001963251, 359.3582, 0, 0, 0, -19.0
1678919428.8494592, 3.2, 0.039630525, -7.850685e-05, 0.0019815780000000003, 359.3641, 0, 0, 0, -20.0
1678919435.065982, -3.2, 0.0399961, -7.850685e-05, 0.00198153, 359.8865, 0, 0, 0, -20.0
1678919442.4683802, 3.2, 0.0399961, -0.00044392245, 0.001999928, 359.8885, 0, 0, 0, -21.0
1678919448.6526356, -3.2, 0.04145842, 0.0002869087, 0.0020915915, 0.3930374, 0, 0, 0, -21.0
1678919456.084252, 3.2, 0.0399961, 0.0002869087, 0.001999809, 359.8885, 0, 0, 0, -22.0
1678919462.2845616, -3.2, 0.04036168, -7.850685e-05, 0.001999809, 359.3698, 0, 0, 0, -22.0
1678919469.717014, 3.2, 0.0399961, -7.850685e-05, 0.0020180875, 359.8875, 0, 0, 0, -23.0
1678919475.8923283, -3.2, 0.04036168, -7.850685e-05, 0.0020180875, 359.8885, 0, 0, 0, -23.0
1678919483.316922, 3.2, 0.04036168, -7.850685e-05, 0.002036367, 0.4036211, 0, 0, 0, -24.0
1678919489.506356, -3.2, 0.041092840000000005, -7.850685e-05, 0.002054692, 359.8905, 0, 0, 0, -24.0
1678919496.926622, 3.2, 0.04145842, 0.0002869087, 0.0020912035, 359.8925, 0, 0, 0, -25.0
1678919503.1181757, -3.2, 0.04145842, -7.850685e-05, 0.0020729705, 0.3965031, 0, 0, 0, -25.0
1678919510.5283444, 3.2, 0.041092840000000005, -7.850685e-05, 0.0020547615, 359.8905, 0, 0, 0, -26.0
1678919516.715906, -3.2, 0.04072726, 0.0002869087, 0.0020546455, 359.8896, 0, 0, 0, -26.0
1678919524.1196394, 3.2, 0.04072726, 0.0002869087, 0.0020729245, 359.3755, 0, 0, 0, -27.0
1678919530.3282273, -3.2, 0.0399961, -7.850685e-05, 0.00198153, 359.8865, 0, 0, 0, -27.0
1678919537.755424, 3.2, 0.039630525, -7.850685e-05, 0.001999809, 359.8865, 0, 0, 0, -28.0
1678919543.951508, -3.2, 0.038899365000000005, 0.0002869087, 0.001944972, 0.4265958, 0, 0, 0, -28.0
1678919551.3539302, 3.2, 0.0399961, -7.850685e-05, 0.0020364134999999997, 0.4036211, 0, 0, 0, -29.0
1678919557.5427911, -3.2, 0.04584537, 0.0002869087, 0.0023107775, 0.3501856, 0, 0, 0, -29.0
1678919564.9666467, 3.2, 0.04877, 0.0006523245000000001, 0.0024202635, 1.624518, 0, 0, 0, -30.0
1678919571.1469388, -3.2, 0.051694649999999995, 0.0013831555, 0.002731158, 1.060393, 0, 0, 0, -30.0
1678919578.5653381, 3.2, 0.059737399999999996, 0.0006523245000000001, 0.0030600185, 0.2718526, 0, 0, 0, -31.0
1678919584.7589319, -3.2, 0.06193085, 0.0017485710000000002, 0.0032429384999999996, 1.846116, 0, 0, 0, -31.0
