t,a,x,y,r,theta,b,c,d,dc
1680118177.8116462, 0, 0.1759916, -0.003732663, 0.1763893, 358.6716, 0, 0, 0, 28.0
1680118182.573652, 0, 0.1727013, -0.003732663, 0.1734652, 358.8854, 0, 0, 0, 27.0
1680118187.3328729, 0, 0.1705079, -0.003367247, 0.1709066, 358.7513, 0, 0, 0, 26.0
1680118192.0989404, 0, 0.1664865, -0.003001831, 0.1672516, 358.8439, 0, 0, 0, 25.0
1680118196.8506396, 0, 0.1635619, -0.003001831, 0.1635894, 358.8232, 0, 0, 0, 24.0
1680118201.6116166, 0, 0.1606372, -0.003367247, 0.1606725, 358.7992, 0, 0, 0, 23.0
1680118206.3741825, 0, 0.1580782, -0.002636416, 0.158114, 358.7797, 0, 0, 0, 22.0
1680118211.1338205, 0, 0.1555191, -0.003001831, 0.1559136, 359.1653, 0, 0, 0, 21.0
1680118215.9162126, 0, 0.1536912, -0.003001831, 0.1533626, 359.0149, 0, 0, 0, 20.0
1680118220.6631186, 0, 0.1507666, -0.002636416, 0.1507896, 358.9982, 0, 0, 0, 19.0
1680118225.431508, 0, 0.1485731, -0.002636416, 0.1489689, 358.8454, 0, 0, 0, 18.0
1680118230.1913316, 0, 0.1467452, -0.003001831, 0.1471344, 359.1156, 0, 0, 0, 17.0
1680118234.9535863, 0, 0.1460141, -0.003001831, 0.1449413, 358.9578, 0, 0, 0, 16.0
1680118239.7294376, 0, 0.143455, -0.002636416, 0.1438448, 358.9498, 0, 0, 0, 15.0
1680118244.5133226, 0, 0.1419927, -0.002636416, 0.1423764, 359.2311, 0, 0, 0, 14.0
1680118249.2883217, 0, 0.1397992, -0.002271, 0.1401832, 358.9224, 0, 0, 0, 13.0
1680118254.066025, 0, 0.1376057, -0.002271, 0.1376245, 359.2087, 0, 0, 0, 12.0
1680118258.8275917, 0, 0.1361434, -0.001905585, 0.1357968, 359.0443, 0, 0, 0, 11.0
1680118263.584313, 0, 0.1346811, -0.002271, 0.1343291, 359.0313, 0, 0, 0, 10.0
1680118268.3638093, 0, 0.1328532, -0.002271, 0.1328726, 359.0234, 0, 0, 0, 9.0
1680118273.1229603, 0, 0.1310253, -0.002271, 0.131045, 359.1668, 0, 0, 0, 8.0
1680118277.9018633, 0, 0.1299286, -0.001905585, 0.1295829, 359.1597, 0, 0, 0, 7.0
1680118282.6569355, 0, 0.1284663, -0.002271, 0.1281148, 358.9843, 0, 0, 0, 6.0
1680118287.4236546, 0, 0.1266384, -0.001540169, 0.1270182, 359.1404, 0, 0, 0, 5.0
1680118292.205913, 0, 0.1259072, -0.001905585, 0.1259216, 359.1304, 0, 0, 0, 4.0
1680118296.9749312, 0, 0.1244449, -0.001905585, 0.1244595, 359.1227, 0, 0, 0, 3.0
1680118301.7475083, 0, 0.1229826, -0.001540169, 0.1229973, 359.1096, 0, 0, 0, 2.0
1680118306.495708, 0, 0.1215203, -0.001905585, 0.121907, 358.9294, 0, 0, 0, 1.0
1680118311.249009, 0, 0.1207891, -0.001905585, 0.1204334, 359.0989, 0, 0, 0, 0.0
