time,tc temp (C),tr temp (C),tr res (ohm),sr2124,x,y,r,theta
1665960781.0446544,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960786.128105,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960791.2130864,0,0,0,4.521518,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960796.281348,0,0,0,4.521518,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960801.3532472,0,0,0,4.514206,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960806.399914,0,0,0,4.506895,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960811.445798,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960816.5073435,0,0,0,4.514206,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960821.572957,0,0,0,4.506895,0.00904089,-3.81472e-05,0.00904852,-0.21
1665960826.635487,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960831.6781006,0,0,0,4.499583,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960836.730016,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960841.7728271,0,0,0,4.521518,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960846.8422766,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960851.9064608,0,0,0,4.506895,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960856.9738593,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960862.051028,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960867.1362708,0,0,0,4.52883,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960872.1866271,0,0,0,4.52883,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960877.248619,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960882.3147085,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.252
1665960887.3635938,0,0,0,4.514206,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960892.400041,0,0,0,4.514206,0.00904852,-4.57766e-05,0.00904852,-0.252
1665960897.4783652,0,0,0,4.514206,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960902.53744,0,0,0,4.521518,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960907.595995,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960912.6554646,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960917.724655,0,0,0,4.521518,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960922.7796383,0,0,0,4.514206,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960927.8303692,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960932.8872614,0,0,0,4.514206,0.00904852,-4.57766e-05,0.00905615,-0.252
1665960937.9600325,0,0,0,4.506895,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960943.0063064,0,0,0,4.514206,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960948.058465,0,0,0,4.52883,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960953.1044497,0,0,0,4.521518,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960958.1633697,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960963.2260787,0,0,0,4.506895,0.00903326,-3.81472e-05,0.00903326,-0.21
1665960968.284638,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960973.3523736,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960978.4042113,0,0,0,4.499583,0.00903326,-5.3406e-05,0.00903326,-0.252
1665960983.4681425,0,0,0,4.499583,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960988.5235999,0,0,0,4.52883,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960993.586158,0,0,0,4.521518,0.00903326,-3.81472e-05,0.00903326,-0.21
1665960998.6125731,0,0,0,4.514206,0.00904852,-4.57766e-05,0.00904852,-0.252
1665961003.6547267,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.336
1665961008.6935666,0,0,0,4.521518,0.00902563,-5.3406e-05,0.00902563,-0.252
