[[DESCRIPTION]]
IV13DC

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
+1.000139E+00	+1.053503E-06	+1.808789E+01	2PT  
+8.002352E-01	+8.415130E-07	+1.853711E+01	2PT  
+6.002520E-01	+6.311944E-07	+1.875098E+01	2PT  
+3.999004E-01	+4.207145E-07	+1.897559E+01	2PT  
+1.998503E-01	+2.109643E-07	+1.919434E+01	2PT  
-1.580790E-04	-1.162056E-11	+1.941406E+01	2PT  
-2.007680E-01	-2.104167E-07	+1.963379E+01	2PT  
-4.008609E-01	-4.209788E-07	+1.985352E+01	2PT  
-6.008337E-01	-6.312545E-07	+2.007324E+01	2PT  
-8.012502E-01	-8.425362E-07	+2.029395E+01	2PT  
-1.001151E+00	-1.053673E-06	+2.073926E+01	2PT  
-1.201132E+00	-1.261556E-06	+2.095020E+01	2PT  
-1.401104E+00	-1.471760E-06	+2.116895E+01	2PT  
-1.601036E+00	-1.681936E-06	+2.138867E+01	2PT  
-1.801005E+00	-1.892119E-06	+2.160938E+01	2PT  
-2.000876E+00	-2.102165E-06	+2.182812E+01	2PT  
-2.201139E+00	-2.312669E-06	+2.204785E+01	2PT  
-2.401067E+00	-2.522804E-06	+2.226855E+01	2PT  
-2.600986E+00	-2.732895E-06	+2.248730E+01	2PT  
-2.801004E+00	-2.943137E-06	+2.270703E+01	2PT  
-3.001050E+00	-3.153359E-06	+2.292676E+01	2PT  
-3.201072E+00	-3.363565E-06	+2.314746E+01	2PT  
-3.401347E+00	-3.574081E-06	+2.336621E+01	2PT  
-3.601335E+00	-3.784326E-06	+2.358691E+01	2PT  
-3.801380E+00	-3.994574E-06	+2.380664E+01	2PT  
-4.001374E+00	-4.204785E-06	+2.402637E+01	2PT  
-4.201319E+00	-4.414891E-06	+2.424512E+01	2PT  
-4.401268E+00	-4.625058E-06	+2.446680E+01	2PT  
-4.601497E+00	-4.835531E-06	+2.469043E+01	2PT  
-4.801357E+00	-5.045640E-06	+2.491211E+01	2PT  
-5.001268E+00	-5.255724E-06	+2.514355E+01	2PT  
-5.001269E+00	-5.255632E-06	+2.536426E+01	2PT  
-4.801358E+00	-5.045355E-06	+2.558301E+01	2PT  
-4.601494E+00	-4.835229E-06	+2.580078E+01	2PT  
-4.401264E+00	-4.624715E-06	+2.602051E+01	2PT  
-4.201315E+00	-4.414453E-06	+2.624316E+01	2PT  
-4.001373E+00	-4.204312E-06	+2.646777E+01	2PT  
-3.801385E+00	-3.994193E-06	+2.668750E+01	2PT  
-3.601339E+00	-3.783771E-06	+2.691113E+01	2PT  
-3.401353E+00	-3.573592E-06	+2.713379E+01	2PT  
-3.201075E+00	-3.363078E-06	+2.735645E+01	2PT  
-3.001047E+00	-3.152961E-06	+2.757910E+01	2PT  
-2.801011E+00	-2.942576E-06	+2.779883E+01	2PT  
-2.600990E+00	-2.732309E-06	+2.801855E+01	2PT  
-2.401075E+00	-2.522179E-06	+2.824121E+01	2PT  
-2.201150E+00	-2.312042E-06	+2.846484E+01	2PT  
-2.000889E+00	-2.101592E-06	+2.868359E+01	2PT  
-1.801023E+00	-1.891512E-06	+2.890234E+01	2PT  
-1.601051E+00	-1.681403E-06	+2.912109E+01	2PT  
-1.401117E+00	-1.471326E-06	+2.934375E+01	2PT  
-1.201149E+00	-1.261125E-06	+2.956738E+01	2PT  
-1.001162E+00	-1.050837E-06	+2.978613E+01	2PT  
-8.012611E-01	-8.413323E-07	+3.023535E+01	2PT  
-6.008435E-01	-6.306709E-07	+3.044531E+01	2PT  
-4.008705E-01	-4.204395E-07	+3.066504E+01	2PT  
-2.007796E-01	-2.101050E-07	+3.088867E+01	2PT  
-7.486711E-04	+1.712168E-10	+3.111719E+01	2PT  
+1.998452E-01	+2.110680E-07	+3.134375E+01	2PT  
+3.998931E-01	+4.213458E-07	+3.156055E+01	2PT  
+6.002442E-01	+6.319983E-07	+3.178418E+01	2PT  
+8.002293E-01	+8.422297E-07	+3.200391E+01	2PT  
+9.896532E-01	+1.041346E-06	+3.222168E+01	2PT  
+1.200127E+00	+1.262814E-06	+3.266797E+01	2PT  
+1.400046E+00	+1.472870E-06	+3.287988E+01	2PT  
+1.599968E+00	+1.682996E-06	+3.309961E+01	2PT  
+1.800232E+00	+1.893480E-06	+3.331836E+01	2PT  
+2.000087E+00	+2.103517E-06	+3.354492E+01	2PT  
+2.200011E+00	+2.313646E-06	+3.376758E+01	2PT  
+2.399908E+00	+2.523759E-06	+3.399121E+01	2PT  
+2.599813E+00	+2.733845E-06	+3.421289E+01	2PT  
+2.800135E+00	+2.944399E-06	+3.443652E+01	2PT  
+3.000171E+00	+3.154619E-06	+3.465625E+01	2PT  
+3.200156E+00	+3.364829E-06	+3.487402E+01	2PT  
+3.400088E+00	+3.574943E-06	+3.509668E+01	2PT  
+3.600061E+00	+3.785118E-06	+3.532129E+01	2PT  
+3.800411E+00	+3.995701E-06	+3.554102E+01	2PT  
+4.000388E+00	+4.205884E-06	+3.576074E+01	2PT  
+4.200318E+00	+4.416021E-06	+3.598145E+01	2PT  
+4.400256E+00	+4.626186E-06	+3.620117E+01	2PT  
+4.600118E+00	+4.836254E-06	+3.642090E+01	2PT  
+4.800299E+00	+5.046645E-06	+3.663965E+01	2PT  
+5.000207E+00	+5.256760E-06	+3.686426E+01	2PT  
+5.000203E+00	+5.256669E-06	+3.708496E+01	2PT  
+4.800292E+00	+5.046400E-06	+3.730469E+01	2PT  
+4.600107E+00	+4.835959E-06	+3.752441E+01	2PT  
+4.400251E+00	+4.625813E-06	+3.774414E+01	2PT  
+4.200301E+00	+4.415644E-06	+3.796680E+01	2PT  
+4.000380E+00	+4.205488E-06	+3.819141E+01	2PT  
+3.800402E+00	+3.995275E-06	+3.841211E+01	2PT  
+3.600052E+00	+3.784682E-06	+3.863086E+01	2PT  
+3.400078E+00	+3.574494E-06	+3.885059E+01	2PT  
+3.200140E+00	+3.364325E-06	+3.907031E+01	2PT  
+3.000156E+00	+3.154116E-06	+3.929004E+01	2PT  
+2.800129E+00	+2.943870E-06	+3.951074E+01	2PT  
+2.599811E+00	+2.733322E-06	+3.973242E+01	2PT  
+2.399904E+00	+2.523175E-06	+3.995605E+01	2PT  
+2.200007E+00	+2.313099E-06	+4.017871E+01	2PT  
+2.000083E+00	+2.102948E-06	+4.040234E+01	2PT  
+1.800233E+00	+1.892905E-06	+4.062305E+01	2PT  
+1.599972E+00	+1.682423E-06	+4.084473E+01	2PT  
+1.400050E+00	+1.472301E-06	+4.106934E+01	2PT  
+1.200126E+00	+1.262183E-06	+4.128906E+01	2PT  
+1.000131E+00	+1.051978E-06	+4.150879E+01	2PT  
+8.002318E-01	+8.417020E-07	+4.195801E+01	2PT  
+6.002409E-01	+6.314263E-07	+4.216699E+01	2PT  
+3.998947E-01	+4.208052E-07	+4.238672E+01	2PT  
+1.998402E-01	+2.105065E-07	+4.260937E+01	2PT  
-1.662169E-04	+2.391748E-10	+4.282715E+01	2PT  
-2.007758E-01	-2.106489E-07	+4.305078E+01	2PT  
-4.008651E-01	-4.209772E-07	+4.326758E+01	2PT  
-6.008379E-01	-6.311843E-07	+4.349219E+01	2PT  
-8.012519E-01	-8.418517E-07	+4.371191E+01	2PT  
-1.001160E+00	-1.051308E-06	+4.415820E+01	2PT  
-1.201141E+00	-1.261502E-06	+4.436914E+01	2PT  
-1.401108E+00	-1.471670E-06	+4.458789E+01	2PT  
-1.601037E+00	-1.681796E-06	+4.480957E+01	2PT  
-1.801010E+00	-1.891957E-06	+4.503223E+01	2PT  
-2.000872E+00	-2.102027E-06	+4.525293E+01	2PT  
-2.201137E+00	-2.312494E-06	+4.547070E+01	2PT  
-2.401069E+00	-2.522628E-06	+4.569336E+01	2PT  
-2.600987E+00	-2.732711E-06	+4.591797E+01	2PT  
-2.801001E+00	-2.942946E-06	+4.613770E+01	2PT  
-3.001043E+00	-3.153153E-06	+4.635840E+01	2PT  
-3.201065E+00	-3.363369E-06	+4.657910E+01	2PT  
-3.401344E+00	-3.573862E-06	+4.679785E+01	2PT  
-3.601326E+00	-3.784047E-06	+4.701660E+01	2PT  
-3.801373E+00	-3.994279E-06	+4.723633E+01	2PT  
-4.001361E+00	-4.204499E-06	+4.745605E+01	2PT  
-4.201306E+00	-4.414605E-06	+4.767578E+01	2PT  
-4.401257E+00	-4.624766E-06	+4.789551E+01	2PT  
-4.601482E+00	-4.835191E-06	+4.811523E+01	2PT  
-4.801341E+00	-5.045238E-06	+4.833887E+01	2PT  
-5.001259E+00	-5.255356E-06	+4.856250E+01	2PT  
-5.001261E+00	-5.255259E-06	+4.878223E+01	2PT  
-4.801344E+00	-5.044995E-06	+4.900195E+01	2PT  
-4.601486E+00	-4.834882E-06	+4.922461E+01	2PT  
-4.401255E+00	-4.624396E-06	+4.944922E+01	2PT  
-4.201305E+00	-4.414223E-06	+4.967187E+01	2PT  
-4.001367E+00	-4.204042E-06	+4.989648E+01	2PT  
-3.801370E+00	-3.993833E-06	+5.011719E+01	2PT  
-3.601327E+00	-3.783572E-06	+5.033594E+01	2PT  
-3.401336E+00	-3.573360E-06	+5.055566E+01	2PT  
-3.201062E+00	-3.362871E-06	+5.077832E+01	2PT  
-3.001042E+00	-3.152629E-06	+5.100293E+01	2PT  
-2.800997E+00	-2.942369E-06	+5.122266E+01	2PT  
-2.600981E+00	-2.732155E-06	+5.144531E+01	2PT  
-2.401061E+00	-2.522032E-06	+5.166992E+01	2PT  
-2.201138E+00	-2.311917E-06	+5.188965E+01	2PT  
-2.000875E+00	-2.101408E-06	+5.211035E+01	2PT  
-1.801006E+00	-1.891383E-06	+5.233008E+01	2PT  
-1.601032E+00	-1.681207E-06	+5.255176E+01	2PT  
-1.401102E+00	-1.471046E-06	+5.277637E+01	2PT  
-1.201131E+00	-1.260916E-06	+5.299609E+01	2PT  
-1.001150E+00	-1.050744E-06	+5.321582E+01	2PT  
-8.012431E-01	-8.412050E-07	+5.366504E+01	2PT  
-6.008238E-01	-6.305141E-07	+5.387598E+01	2PT  
-4.008533E-01	-4.203633E-07	+5.409766E+01	2PT  
-2.007596E-01	-2.100713E-07	+5.432227E+01	2PT  
-7.310400E-04	+2.130864E-10	+5.454492E+01	2PT  
+1.998470E-01	+2.111236E-07	+5.476758E+01	2PT  
+3.999002E-01	+4.214424E-07	+5.498437E+01	2PT  
+6.002508E-01	+6.317561E-07	+5.520898E+01	2PT  
+8.002416E-01	+8.421706E-07	+5.542871E+01	2PT  
+1.000145E+00	+1.052423E-06	+5.587500E+01	2PT  
+1.200137E+00	+1.262675E-06	+5.608594E+01	2PT  
+1.400059E+00	+1.472788E-06	+5.630371E+01	2PT  
+1.599973E+00	+1.682923E-06	+5.652637E+01	2PT  
+1.800239E+00	+1.893387E-06	+5.675098E+01	2PT  
+2.000090E+00	+2.103431E-06	+5.697070E+01	2PT  
+2.200013E+00	+2.313555E-06	+5.719043E+01	2PT  
+2.399907E+00	+2.523597E-06	+5.741016E+01	2PT  
+2.599818E+00	+2.733678E-06	+5.762988E+01	2PT  
+2.800141E+00	+2.944245E-06	+5.784961E+01	2PT  
+3.000162E+00	+3.154362E-06	+5.807129E+01	2PT  
+3.200157E+00	+3.364620E-06	+5.828906E+01	2PT  
+3.400087E+00	+3.574723E-06	+5.851172E+01	2PT  
+3.600056E+00	+3.784960E-06	+5.873926E+01	2PT  
+3.800415E+00	+3.995528E-06	+5.896680E+01	2PT  
+4.000393E+00	+4.205429E-06	+5.919727E+01	2PT  
+4.200317E+00	+4.415727E-06	+5.941895E+01	2PT  
+4.400261E+00	+4.625799E-06	+5.963770E+01	2PT  
+4.600124E+00	+4.835845E-06	+5.985742E+01	2PT  
+4.800313E+00	+5.046294E-06	+6.007715E+01	2PT  
+5.000216E+00	+5.256394E-06	+6.029687E+01	2PT  
+5.000217E+00	+5.256307E-06	+6.052246E+01	2PT  
+4.800305E+00	+5.046075E-06	+6.074414E+01	2PT  
+4.600123E+00	+4.835630E-06	+6.096289E+01	2PT  
+4.400262E+00	+4.625510E-06	+6.118262E+01	2PT  
+4.200325E+00	+4.415350E-06	+6.140332E+01	2PT  
+4.000396E+00	+4.205213E-06	+6.162207E+01	2PT  
+3.800423E+00	+3.995016E-06	+6.184277E+01	2PT  
+3.600073E+00	+3.784428E-06	+6.206055E+01	2PT  
+3.400097E+00	+3.574237E-06	+6.228320E+01	2PT  
+3.200162E+00	+3.364129E-06	+6.250879E+01	2PT  
+3.000173E+00	+3.153905E-06	+6.272754E+01	2PT  
+2.800149E+00	+2.943675E-06	+6.294727E+01	2PT  
+2.599824E+00	+2.733147E-06	+6.316797E+01	2PT  
+2.399920E+00	+2.523033E-06	+6.339160E+01	2PT  
+2.200026E+00	+2.312946E-06	+6.361133E+01	2PT  
+2.000097E+00	+2.102873E-06	+6.382813E+01	2PT  
+1.800249E+00	+1.892808E-06	+6.404883E+01	2PT  
+1.599978E+00	+1.682328E-06	+6.427148E+01	2PT  
+1.400058E+00	+1.472236E-06	+6.449609E+01	2PT  
+1.200138E+00	+1.262114E-06	+6.471680E+01	2PT  
+1.000139E+00	+1.051914E-06	+6.494238E+01	2PT  
+8.002385E-01	+8.416540E-07	+6.538965E+01	2PT  
+6.002496E-01	+6.314108E-07	+6.559961E+01	2PT  
+3.999018E-01	+4.207845E-07	+6.582031E+01	2PT  
+1.998476E-01	+2.105048E-07	+6.604199E+01	2PT  
-1.621472E-04	+2.592450E-10	+6.626562E+01	2PT  
-2.007769E-01	-2.106184E-07	+6.648535E+01	2PT  
-4.008701E-01	-4.209418E-07	+6.670508E+01	2PT  
-6.008424E-01	-6.311381E-07	+6.692480E+01	2PT  
-8.012570E-01	-8.417958E-07	+6.714453E+01	2PT  
-1.001158E+00	-1.051221E-06	+6.759082E+01	2PT  
-1.201146E+00	-1.261401E-06	+6.780371E+01	2PT  
-1.401114E+00	-1.471573E-06	+6.802832E+01	2PT  
-1.601045E+00	-1.681677E-06	+6.824805E+01	2PT  
-1.801016E+00	-1.891844E-06	+6.847070E+01	2PT  
-2.000885E+00	-2.101874E-06	+6.869434E+01	2PT  
-2.201152E+00	-2.312339E-06	+6.891309E+01	2PT  
-2.401081E+00	-2.522442E-06	+6.913477E+01	2PT  
-2.601002E+00	-2.732545E-06	+6.935840E+01	2PT  
-2.801019E+00	-2.942737E-06	+6.958105E+01	2PT  
-3.001059E+00	-3.152952E-06	+6.980566E+01	2PT  
-3.201083E+00	-3.363158E-06	+7.002539E+01	2PT  
-3.401361E+00	-3.573640E-06	+7.024805E+01	2PT  
-3.601347E+00	-3.783800E-06	+7.047266E+01	2PT  
-3.801393E+00	-3.994031E-06	+7.069531E+01	2PT  
-4.001379E+00	-4.204208E-06	+7.092090E+01	2PT  
-4.201324E+00	-4.414329E-06	+7.113770E+01	2PT  
-4.401271E+00	-4.624460E-06	+7.136133E+01	2PT  
-4.601503E+00	-4.834892E-06	+7.158691E+01	2PT  
-4.801363E+00	-5.044898E-06	+7.180469E+01	2PT  
-5.001280E+00	-5.255028E-06	+7.202246E+01	2PT  


[[PARAMS]]
DeviceArea=1.0000000000E+0
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

