time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225701.78966,98233017.9297579,-0.049884200000000004,-5.07815e-10,-0.0018615799999999998,2.8686699999999998e-11,0.0499147,5.07815e-10,-177.87,176.73
1645225704.4064727,97786993.19557242,-0.0498964,-5.10256e-10,-0.00186769,3.11281e-11,0.0499269,5.10867e-10,-177.864,176.448
1645225707.0246484,98643851.10881644,-0.050153,-5.08425e-10,-0.001709,3.29591e-11,0.050177400000000004,5.09036e-10,-178.056,176.286
1645225709.6351802,98840658.28605802,-0.0499514,-5.05373e-10,-0.00143433,2.9297e-11,0.049963600000000004,5.05984e-10,-178.356,176.64
1645225712.2403576,98274846.63546674,-0.0497255,-5.05984e-10,-0.0016418599999999998,2.80763e-11,0.0497438,5.06594e-10,-178.11,176.754
1645225714.8528256,97844189.88866784,-0.049865900000000005,-5.09646e-10,-0.0018615799999999998,2.8686699999999998e-11,0.0498964,5.09646e-10,-177.864,176.742
1645225717.4637334,98335511.31569758,-0.0501163,-5.09646e-10,-0.00178834,3.11281e-11,0.05014690000000001,5.10256e-10,-177.96,176.406
1645225720.07316,98531757.37620883,-0.0499758,-5.07205e-10,-0.00144654,3.17384e-11,0.0499941,5.07815e-10,-178.344,176.388
1645225722.6878757,98265080.12333347,-0.0497805,-5.06594e-10,-0.0015258799999999999,3.11281e-11,0.0497927,5.07205e-10,-178.248,176.46
1645225725.2845728,98325286.12656288,-0.049811,-5.06594e-10,-0.0018188599999999998,2.9297e-11,0.0498415,5.07205e-10,-177.906,176.646
1645225727.896401,97793672.7461319,-0.0497805,-5.09036e-10,-0.00179445,2.8686699999999998e-11,0.049811,5.09646e-10,-177.936,176.736
1645225730.516673,97763083.62860996,-0.049884200000000004,-5.10256e-10,-0.0018615799999999998,3.11281e-11,0.0499086,5.10867e-10,-177.87,176.448
1645225733.1290102,99094530.1786997,-0.050079700000000005,-5.05373e-10,-0.00148926,3.17384e-11,0.050098,5.05984e-10,-178.302,176.376
1645225735.7281113,98441942.88179226,-0.0497499,-5.05373e-10,-0.0015563999999999999,3.05177e-11,0.0497622,5.05373e-10,-178.206,176.526
1645225738.3431616,98550773.38916008,-0.0498049,-5.05373e-10,-0.00148926,2.9297e-11,0.0498232,5.05373e-10,-178.296,176.64
1645225740.94767,98451689.03968138,-0.050055300000000004,-5.08425e-10,-0.00184327,2.7466e-11,0.050079700000000005,5.08425e-10,-177.894,176.844
