t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336505.1091082,442.3,3.82,0.1,0.001207891,-7.850687e-07,0.001207894,0.3094241,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336509.1783168,442.3,3.87,0.1,0.001207891,6.523243e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336513.2445316,442.3,3.92,0.1,0.001207891,2.869087e-06,0.001207909,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336517.3134835,442.3,3.97,0.1,0.001207891,-7.850687e-07,0.001204239,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336521.390982,442.3,4.02,0.1,0.001207891,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336525.4484322,442.3,4.07,0.1,0.001211547,2.869087e-06,0.00121155,0.3094241,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336529.4894435,442.3,4.12,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336533.561547,442.3,4.17,0.1,0.001204235,2.869087e-06,0.001207894,0.1365068,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336537.6311843,442.3,4.22,0.1,0.001211547,-7.850687e-07,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336541.6902506,442.3,4.27,0.1,0.001207891,2.869087e-06,0.001207894,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336545.7527099,442.3,4.32,0.1,0.001207891,2.869087e-06,0.00121155,359.7894,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336549.810877,442.3,4.37,0.1,0.001207891,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336553.8834186,442.3,4.42,0.1,0.001207891,2.869087e-06,0.001207891,0.3103634,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336557.9602346,442.3,4.47,0.1,0.001211547,2.869087e-06,0.001204253,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336562.0166564,442.3,4.52,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336566.0921876,442.3,4.57,0.1,0.001207891,-7.850687e-07,0.001207909,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336570.1615243,442.3,4.62,0.1,0.001207891,2.869087e-06,0.001207909,359.7901,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336574.250675,442.3,4.67,0.1,0.001207891,-7.850687e-07,0.001207909,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336578.3094237,442.3,4.72,0.1,0.001207891,6.523243e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336582.3740613,442.3,4.77,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336586.4066734,442.3,4.82,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336590.4573755,442.3,4.87,0.1,0.001207891,2.869087e-06,0.001204239,359.6149,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336594.5191467,442.3,4.92,0.1,0.001207891,2.869087e-06,0.001207909,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
