t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681346947.388864,-2.3333333333333335,442.3,0.97,0.01,0.009598716,1.147635e-05,0.009613346,0.2429985,0,0,0,0
1681346950.9504542,-2.3333333333333335,442.3,1.0,0.01,0.009598716,1.147635e-05,0.009598751,0.06839932,0,0,0,0
1681346954.495578,-2.3333333333333335,442.3,1.0,0.01,0.009598716,-3.140275e-06,0.009598723,0.1555144,0,0,0,0
1681346958.0652869,-2.3333333333333335,442.3,0.97,0.01,0.009598716,1.147635e-05,0.009598751,0.06839932,0,0,0,0
1681346961.6037097,-2.3333333333333335,442.3,0.95,0.01,0.00961334,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346965.169198,-2.3333333333333335,442.3,0.92,0.01,0.009598716,1.147635e-05,0.009598802,359.9813,0,0,0,0
1681346968.710843,-2.3333333333333335,442.3,0.9,0.01,0.009598716,1.147635e-05,0.009598716,0.06839932,0,0,0,0
1681346972.2814825,-2.3333333333333335,442.3,0.87,0.01,0.009598716,1.147635e-05,0.009598751,0.06860805,0,0,0,0
1681346975.8330839,-2.3333333333333335,442.3,0.85,0.01,0.009598716,-3.140275e-06,0.009598723,0.06850353,0,0,0,0
1681346979.375235,-2.3333333333333335,442.3,0.82,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346982.924171,-2.3333333333333335,442.3,0.79,0.01,0.009598716,1.147635e-05,0.009598723,359.9813,0,0,0,0
1681346986.47656,-2.3333333333333335,442.3,0.77,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346990.0352716,-2.3333333333333335,442.3,0.74,0.01,0.009598716,1.147635e-05,0.009584094,359.9813,0,0,0,0
1681346993.559594,-2.3333333333333335,442.3,0.72,0.01,0.009598716,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681346997.1065173,-2.3333333333333335,442.3,0.69,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347000.6646223,-2.3333333333333335,442.3,0.67,0.01,0.00961334,1.147635e-05,0.009598716,359.9812,0,0,0,0
1681347004.1917417,-2.3333333333333335,442.3,0.64,0.01,0.00961334,1.147635e-05,0.009598723,0.06860805,0,0,0,0
1681347007.7542899,-2.3333333333333335,442.3,0.62,0.01,0.009598716,-3.140275e-06,0.009598723,0.1557514,0,0,0,0
1681347011.29272,-2.3333333333333335,442.3,0.59,0.01,0.009584093,1.147635e-05,0.009613341,359.9813,0,0,0,0
1681347014.8594813,-2.3333333333333335,442.3,0.56,0.01,0.009598716,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681347018.419783,-2.3333333333333335,442.3,0.54,0.01,0.009598716,-3.140275e-06,0.009598716,359.8939,0,0,0,0
1681347021.9647276,-2.3333333333333335,442.3,0.51,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347025.4811482,-2.3333333333333335,442.3,0.49,0.01,0.009598716,1.147635e-05,0.009598723,0.06860805,0,0,0,0
1681347029.039027,-2.3333333333333335,442.3,0.46,0.01,0.009598716,-3.140275e-06,0.009598723,359.9813,0,0,0,0
1681347032.572489,-2.3333333333333335,442.3,0.44,0.01,0.00961334,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347036.1211367,-2.3333333333333335,442.3,0.41,0.01,0.009598716,-3.140275e-06,0.0095841,359.9813,0,0,0,0
1681347039.6771033,-2.3333333333333335,442.3,0.38,0.01,0.009598716,-3.140275e-06,0.0095841,0.155989,0,0,0,0
1681347043.226638,-2.3333333333333335,442.3,0.36,0.01,0.009598716,1.147635e-05,0.0095841,0.06850353,0,0,0,0
1681347046.779008,-2.3333333333333335,442.3,0.33,0.01,0.009598716,1.147635e-05,0.009598723,359.9813,0,0,0,0
1681347050.314256,-2.3333333333333335,442.3,0.31,0.01,0.009598716,-3.140275e-06,0.009598802,359.9813,0,0,0,0
1681347053.8756561,-2.3333333333333335,442.3,0.28,0.01,0.009598716,1.147635e-05,0.009613341,0.1557514,0,0,0,0
1681347057.4126747,-2.3333333333333335,442.3,0.26,0.01,0.009598716,2.609297e-05,0.009598716,0.06860805,0,0,0,0
1681347060.9672034,-2.3333333333333335,442.3,0.23,0.01,0.00961334,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681347064.514979,-2.3333333333333335,442.3,0.21,0.01,0.009598716,-3.140275e-06,0.009598723,359.9813,0,0,0,0
1681347068.0526154,-2.3333333333333335,442.3,0.18,0.01,0.009584093,1.147635e-05,0.0095841,0.06839932,0,0,0,0
1681347071.5873203,-2.3333333333333335,442.3,0.15,0.01,0.009584093,1.147635e-05,0.009598716,359.9813,0,0,0,0
