DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
18:14:56	280.91	0.28	2	0.0249826	0.00058556	1.344	8.52165e-08	-8.73118e-10	-0.558
18:15:01	280.66	0.28	3	0.0173646	0.000244142	0.81	8.29464e-08	-1.74624e-09	-1.194
18:15:06	280.42	0.32	1	0.00777057	0.000326158	2.406	9.07462e-08	1.62982e-09	1.032
18:15:11	280.17	0.32	2	0.0252572	0.000574116	1.302	8.51001e-08	-8.73118e-10	-0.582
18:15:16	279.90	0.34	3	0.0175534	0.000232697	0.762	8.27717e-08	-1.80444e-09	-1.224
18:15:21	279.64	0.30	1	0.00786215	0.000324251	2.364	9.06298e-08	1.51341e-09	0.99
18:15:26	279.40	0.32	2	0.0255395	0.000562672	1.26	8.49254e-08	-9.89537e-10	-0.63
18:15:31	279.16	0.34	3	0.0177461	0.000219346	0.708	8.25971e-08	-1.86266e-09	-1.272
18:15:37	278.88	0.34	1	0.00795561	0.000324251	2.34	9.05134e-08	1.51341e-09	0.972
18:15:42	278.64	0.34	2	0.0258294	0.00054932	1.218	8.4809e-08	-1.04775e-09	-0.678
18:15:47	278.38	0.36	3	0.0179445	0.000207902	0.666	8.24225e-08	-1.92087e-09	-1.32
18:15:52	278.14	0.30	1	0.00805098	0.000324251	2.31	9.04552e-08	1.4552e-09	0.948
18:15:57	277.89	0.34	2	0.0261289	0.000535969	1.176	8.45762e-08	-1.04775e-09	-0.702
18:16:02	277.62	0.32	3	0.0181504	0.00019455	0.618	8.21897e-08	-1.97907e-09	-1.368
18:16:07	277.36	0.38	1	0.00814825	0.000322344	2.274	9.03387e-08	1.4552e-09	0.93
18:16:12	277.11	0.30	2	0.0264379	0.000522617	1.134	8.44598e-08	-1.10595e-09	-0.744
18:16:17	276.84	0.36	3	0.0183603	0.000179292	0.564	8.2015e-08	-2.03728e-09	-1.422
18:16:23	276.59	0.38	1	0.00825125	0.000322344	2.244	9.02223e-08	1.39699e-09	0.912
18:16:28	276.34	0.34	2	0.0267507	0.000507358	1.086	8.42851e-08	-1.22237e-09	-0.792
18:16:33	276.09	0.40	3	0.0185758	0.000164033	0.51	8.17822e-08	-2.1537e-09	-1.47
18:16:38	275.85	0.40	1	0.00835425	0.000320436	2.202	9.01059e-08	1.39699e-09	0.912
18:16:43	275.57	0.40	2	0.027073	0.000490192	1.038	8.41105e-08	-1.28058e-09	-0.84
18:16:48	275.32	0.38	3	0.0187932	0.000146867	0.45	8.16076e-08	-2.21191e-09	-1.518
18:16:53	275.07	0.44	1	0.00846106	0.000320436	2.178	9.00477e-08	1.33878e-09	0.87
18:16:58	274.83	0.18	2	0.027403	0.000474932	0.996	8.39359e-08	-1.33878e-09	-0.888
18:17:03	274.55	0.12	3	0.0190183	0.000131608	0.402	8.13748e-08	-2.27011e-09	-1.572
18:17:08	274.30	0.14	1	0.00856787	0.000318529	2.136	8.98731e-08	1.28058e-09	0.828
18:17:13	274.05	0.16	2	0.0277387	0.000455858	0.942	8.37613e-08	-1.39699e-09	-0.936
18:17:19	273.81	0.12	3	0.0192472	0.000114441	0.342	8.11419e-08	-2.32832e-09	-1.62
