DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE
16:16:26	300.00	-69295.97	3	0.0143433	0.000366213	1.53
16:16:31	300.00	-69143.12	3	0.0143433	0.000366213	1.53
16:16:36	300.00	-68993.05	3	0.0143433	0.000366213	1.53
16:16:42	300.00	-68843.12	3	0.0143738	0.000366213	1.524
16:16:47	300.00	-68690.22	3	0.0143738	0.000366213	1.524
16:16:52	300.00	-68537.34	3	0.0143738	0.000366213	1.524
16:16:57	300.00	-68387.37	3	0.0143738	0.000366213	1.524
16:17:02	300.00	-68234.41	3	0.0143738	0.000366213	1.524
16:17:07	300.00	-68084.45	3	0.0143738	0.000366213	1.524
16:17:12	300.00	-67931.49	3	0.0143738	0.000366213	1.524
16:17:17	300.00	-67781.25	3	0.0143738	0.000366213	1.524
16:17:22	300.00	-67628.25	3	0.0143738	0.000366213	1.524
16:17:27	300.00	-67478.34	3	0.0143738	0.000366213	1.524
16:17:32	300.00	-67325.31	3	0.0143738	0.000366213	1.524
16:17:37	300.00	-67175.41	3	0.0143738	0.000366213	1.524
16:17:42	300.00	-67022.60	3	0.0143738	0.000366213	1.524
16:17:47	300.00	-66872.56	3	0.0143738	0.000366213	1.524
16:17:52	300.00	-66722.54	3	0.0143738	0.000366213	1.524
16:17:57	300.00	-66569.59	3	0.0143738	0.000366213	1.524
16:18:02	300.00	-66419.75	3	0.0143738	0.000366213	1.524
16:18:07	300.00	-66266.83	3	0.0143738	0.000366213	1.524
16:18:12	300.00	-66116.87	3	0.0143738	0.000366213	1.524
16:18:17	300.00	-65966.86	3	0.0143738	0.000366213	1.524
16:18:22	300.00	-65813.92	3	0.0143738	0.000366213	1.524
16:18:28	300.00	-65660.95	3	0.0144044	0.000366213	1.524
16:18:33	300.00	-65511.08	3	0.0144044	0.000366213	1.524
16:18:38	300.00	-65361.22	3	0.0144044	0.000366213	1.524
16:18:43	300.00	-65208.16	3	0.0144044	0.000366213	1.524
16:18:48	300.00	-65058.34	3	0.0144044	0.000366213	1.524
16:18:53	300.00	-64905.29	3	0.0144044	0.000366213	1.524
16:18:58	300.00	-64755.09	3	0.0144044	0.000366213	1.524
16:19:03	300.00	-64605.05	3	0.0144044	0.000366213	1.524
16:19:08	300.00	-64452.05	3	0.0144044	0.000366213	1.524
16:19:13	300.00	-64299.13	3	0.0144044	0.000366213	1.524
16:19:18	300.00	-64149.18	3	0.0144044	0.000366213	1.524
16:19:23	300.00	-63996.24	3	0.0144044	0.000366213	1.524
16:19:28	300.00	-63846.29	3	0.0144044	0.000366213	1.524
16:19:33	300.00	-63693.39	3	0.0144044	0.000366213	1.524
16:19:38	300.00	-63543.46	3	0.0144044	0.000366213	1.524
16:19:43	300.00	-63390.54	3	0.0144044	0.000366213	1.524
16:19:48	300.00	-63240.41	3	0.0144044	0.000366213	1.524
16:19:53	300.00	-63087.55	3	0.0144044	0.000366213	1.524
16:19:58	300.00	-62937.63	3	0.0144044	0.000366213	1.524
16:20:03	300.00	-62787.64	3	0.0144044	0.000366213	1.524
16:20:08	300.00	-62634.68	3	0.0144044	0.000366213	1.524
16:20:14	300.00	-62484.81	3	0.0144044	0.000366213	1.524
16:20:19	300.00	-62331.81	3	0.0144044	0.000366213	1.524
16:20:24	300.00	-62178.79	3	0.0144349	0.000366213	1.518
16:20:29	300.00	-62028.88	3	0.0144349	0.000366213	1.518
16:20:34	300.00	-61878.66	3	0.0144349	0.000366213	1.518
16:20:39	300.00	-61725.70	3	0.0144349	0.000366213	1.518
16:20:44	300.00	-61575.75	3	0.0144349	0.000366213	1.518
16:20:49	300.00	-61422.72	3	0.0144349	0.000366213	1.518
16:20:54	300.00	-61272.84	3	0.0144349	0.000366213	1.518
16:20:59	300.00	-61122.85	3	0.0144349	0.000366213	1.518
16:21:04	300.00	-60969.87	3	0.0144349	0.000366213	1.518
16:21:09	300.00	-60820.04	3	0.0144654	0.000366213	1.518
16:21:14	300.00	-60666.98	3	0.0144654	0.000366213	1.518
16:21:19	300.00	-60517.11	3	0.0144654	0.000366213	1.518
16:21:24	300.00	-60364.02	3	0.0144654	0.000366213	1.518
16:21:29	300.00	-60214.11	3	0.0144654	0.000366213	1.518
16:21:34	300.00	-60061.12	3	0.0144654	0.000366213	1.518
16:21:39	300.00	-59911.20	3	0.0144654	0.000366213	1.518
16:21:44	300.00	-59758.27	3	0.0144654	0.000366213	1.518
16:21:49	300.00	-59608.30	3	0.0144654	0.000366213	1.518
16:21:54	300.00	-59455.39	3	0.0144654	0.000366213	1.518
16:21:59	300.00	-59305.44	3	0.0144654	0.000366213	1.518
16:22:05	300.00	-59152.49	3	0.0144654	0.000366213	1.518
16:22:10	300.00	-59002.60	3	0.0144654	0.000366213	1.518
16:22:15	300.00	-58849.56	3	0.0144654	0.000366213	1.518
16:22:20	300.00	-58699.56	3	0.0144654	0.000366213	1.518
16:22:25	300.00	-58549.55	3	0.0144654	0.000366213	1.518
16:22:30	300.00	-58396.57	3	0.0144654	0.000366213	1.518
16:22:35	300.00	-58246.75	3	0.0144654	0.000366213	1.518
16:22:40	300.00	-58090.82	3	0.0144654	0.000366213	1.518
16:22:45	300.00	-57940.82	3	0.0144654	0.000366213	1.518
16:22:50	300.00	-57790.77	3	0.0144654	0.000366213	1.518
16:22:55	300.00	-57637.91	3	0.0144654	0.000366213	1.518
16:23:00	300.00	-57485.10	3	0.0144654	0.000366213	1.518
16:23:05	300.00	-57335.03	3	0.0144654	0.000366213	1.518
16:23:10	300.00	-57182.14	3	0.0144654	0.000366213	1.518
16:23:15	300.00	-57031.98	3	0.0144654	0.000366213	1.518
16:23:20	300.00	-56882.14	3	0.0144654	0.000366213	1.518
16:23:25	300.00	-56729.23	3	0.0144959	0.000366213	1.512
16:23:30	300.00	-56579.33	3	0.0144959	0.000366213	1.512
16:23:35	300.00	-56426.36	3	0.0144959	0.000366213	1.512
16:23:40	300.00	-56276.29	3	0.0144959	0.000366213	1.512
16:23:46	300.00	-56123.43	3	0.0144959	0.000366213	1.512
16:23:51	300.00	-55972.98	3	0.0144959	0.000366213	1.512
16:23:56	300.00	-55820.02	3	0.0144959	0.000366213	1.512
16:24:01	300.00	-55670.07	3	0.0144959	0.000366213	1.512
16:24:06	300.00	-55517.05	3	0.0144959	0.000366213	1.512
16:24:11	300.00	-55367.06	3	0.0144959	0.000366213	1.512
16:24:16	300.00	-55214.34	3	0.0144959	0.000366213	1.512
16:24:21	300.00	-55064.38	3	0.0144959	0.000366213	1.512
16:24:26	300.00	-54911.36	3	0.0144959	0.000366213	1.512
16:24:31	300.00	-54761.36	3	0.0144959	0.000366213	1.512
16:24:36	300.00	-54611.37	3	0.0144959	0.000366213	1.512
16:24:41	300.00	-54455.43	3	0.0144959	0.000366213	1.512
16:24:46	300.00	-54305.58	3	0.0144959	0.000366213	1.512
16:24:51	300.00	-54152.50	3	0.0144959	0.000366213	1.512
16:24:56	300.00	-54002.58	3	0.0144959	0.000366213	1.512
16:25:01	300.00	-53852.68	3	0.0144959	0.000366213	1.512
16:25:06	300.00	-53699.62	3	0.0144959	0.000366213	1.512
16:25:11	300.00	-53549.77	3	0.0144959	0.000366213	1.512
16:25:16	300.00	-53396.85	3	0.0144959	0.000366213	1.512
16:25:21	300.00	-53246.82	3	0.0144959	0.000366213	1.512
16:25:27	300.00	-53093.75	3	0.0145264	0.000366213	1.512
16:25:32	300.00	-52943.50	3	0.0145264	0.000366213	1.512
16:25:37	300.00	-52793.54	3	0.0145264	0.000366213	1.512
16:25:42	300.00	-52640.50	3	0.0145264	0.000366213	1.512
16:25:47	300.00	-52490.60	3	0.0145264	0.000366213	1.512
16:25:52	300.00	-52337.61	3	0.0145264	0.000366213	1.512
16:25:57	300.00	-52181.63	3	0.0145264	0.000366213	1.512
16:26:02	300.00	-52031.86	3	0.0145264	0.000366213	1.512
16:26:07	300.00	-51881.80	3	0.0145264	0.000366213	1.512
16:26:12	300.00	-51728.86	3	0.0145264	0.000366213	1.512
16:26:17	300.00	-51578.85	3	0.0145264	0.000366213	1.512
16:26:22	300.00	-51428.92	3	0.0145264	0.000366213	1.512
16:26:27	300.00	-51275.88	3	0.0145264	0.000366213	1.512
16:26:32	300.00	-51125.86	3	0.0145264	0.000366213	1.512
16:26:37	300.00	-50976.05	3	0.0145264	0.000366213	1.512
