DYT048
2022-3-6LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
14:52:59	378.83	0.26	3	0.00233842	0.000181199	4.44	9.64505e-08	3.78353e-09	2.274
14:53:09	378.99	0.28	1	0.00123978	0.00010109	4.686	9.76147e-08	4.42381e-09	2.598
14:53:20	379.17	0.22	2	0.00355341	0.000280382	4.53	9.6858e-08	4.01636e-09	2.382
14:53:30	379.34	0.28	3	0.00230981	0.000179292	4.452	9.64505e-08	3.84173e-09	2.292
14:53:40	379.51	0.28	1	0.00122643	9.91826e-05	4.656	9.76147e-08	4.42381e-09	2.598
14:53:50	379.68	0.24	2	0.00351335	0.000276567	4.524	9.69162e-08	4.01636e-09	2.382
14:54:00	379.84	0.30	3	0.00228311	0.000177384	4.464	9.65088e-08	3.84173e-09	2.292
14:54:10	380.01	0.32	1	0.00121499	9.91826e-05	4.698	9.76729e-08	4.42381e-09	2.616
14:54:20	380.18	0.26	2	0.00347139	0.000276567	4.554	9.69162e-08	4.01636e-09	2.4
14:54:30	380.34	0.34	3	0.00225259	0.00017357	4.44	9.65088e-08	3.84173e-09	2.292
14:54:40	380.52	0.30	1	0.00120354	9.72752e-05	4.662	9.76729e-08	4.42381e-09	2.598
14:54:50	380.69	0.30	2	0.00343134	0.000272753	4.554	9.69162e-08	4.01636e-09	2.382
14:55:00	380.85	0.28	3	0.00222398	0.000171662	4.452	9.65088e-08	3.84173e-09	2.31
14:55:11	381.02	0.28	1	0.0011921	9.72752e-05	4.71	9.76729e-08	4.42381e-09	2.616
14:55:21	381.19	0.30	2	0.00339128	0.000268938	4.554	9.69162e-08	4.01636e-09	2.4
14:55:31	381.35	0.30	3	0.00219347	0.000169755	4.47	9.6567e-08	3.84173e-09	2.31
14:55:41	381.53	0.26	1	0.00118066	9.53679e-05	4.674	9.76729e-08	4.42381e-09	2.616
14:55:51	381.70	0.28	2	0.00335123	0.000265123	4.548	9.69744e-08	4.07456e-09	2.418
14:56:01	381.86	0.30	3	0.00216486	0.000169755	4.488	9.6567e-08	3.84173e-09	2.31
14:56:11	382.03	0.24	1	0.00116921	9.53679e-05	4.722	9.76729e-08	4.42381e-09	2.616
14:56:21	382.20	0.30	2	0.00330926	0.000263216	4.578	9.69744e-08	4.01636e-09	2.4
14:56:31	382.36	0.32	3	0.00213434	0.00016594	4.464	9.66252e-08	3.89994e-09	2.328
14:56:41	382.54	0.30	1	0.00115777	9.34605e-05	4.686	9.76729e-08	4.42381e-09	2.616
14:56:51	382.70	0.28	2	0.0032673	0.000261309	4.578	9.69744e-08	4.07456e-09	2.418
14:57:01	382.87	0.28	3	0.00210573	0.000164033	4.476	9.66252e-08	3.89994e-09	2.328
14:57:12	383.04	0.30	1	0.00114632	9.34605e-05	4.734	9.77311e-08	4.48202e-09	2.634
14:57:22	383.21	0.24	2	0.00322534	0.000257494	4.578	9.70326e-08	4.07456e-09	2.418
14:57:32	383.37	0.32	3	0.00207521	0.000162126	4.5	9.66252e-08	3.89994e-09	2.328
14:57:42	383.55	0.28	1	0.00113488	9.15532e-05	4.698	9.77893e-08	4.42381e-09	2.616
14:57:52	383.71	0.32	2	0.00318338	0.000253679	4.578	9.70908e-08	4.13277e-09	2.436
14:58:02	383.88	0.34	3	0.0020466	0.000160218	4.518	9.66834e-08	3.95815e-09	2.346
14:58:12	384.05	0.26	1	0.00112153	9.15532e-05	4.662	9.77311e-08	4.48202e-09	2.634
14:58:22	384.22	0.28	2	0.00314142	0.000249865	4.578	9.70908e-08	4.13277e-09	2.436
14:58:32	384.39	0.30	3	0.00201608	0.000158311	4.488	9.67416e-08	3.95815e-09	2.346
14:58:42	384.56	0.34	1	0.00111008	9.15532e-05	4.716	9.77893e-08	4.48202e-09	2.634
14:58:52	384.72	0.28	2	0.00310136	0.000249865	4.608	9.70908e-08	4.13277e-09	2.436
14:59:02	384.90	0.32	3	0.00198556	0.000156404	4.506	9.67416e-08	3.95815e-09	2.346
14:59:13	385.06	0.34	1	0.00109864	8.96459e-05	4.674	9.77893e-08	4.48202e-09	2.634
14:59:23	385.23	0.34	2	0.0030594	0.00024605	4.608	9.70908e-08	4.13277e-09	2.454
14:59:33	385.40	0.34	3	0.00195505	0.000154496	4.53	9.67416e-08	3.95815e-09	2.364
14:59:43	385.57	0.32	1	0.0010872	8.96459e-05	4.728	9.77893e-08	4.48202e-09	2.634
14:59:53	385.73	0.28	2	0.00301744	0.000242234	4.608	9.7149e-08	4.13277e-09	2.454
15:00:03	385.91	0.30	3	0.00192452	0.000150681	4.506	9.67998e-08	4.01636e-09	2.382
15:00:13	386.07	0.30	1	0.00107575	8.77385e-05	4.692	9.77893e-08	4.48202e-09	2.634
15:00:23	386.24	0.34	2	0.00297548	0.00023842	4.608	9.7149e-08	4.13277e-09	2.454
15:00:33	386.41	0.32	3	0.001894	0.000148774	4.524	9.6858e-08	4.01636e-09	2.382
15:00:43	386.58	0.28	1	0.00106431	8.77385e-05	4.74	9.78475e-08	4.48202e-09	2.652
15:00:53	386.74	0.34	2	0.00293352	0.000236512	4.608	9.7149e-08	4.13277e-09	2.454
15:01:03	386.91	0.30	3	0.00186349	0.000146867	4.548	9.6858e-08	4.01636e-09	2.382
15:01:14	387.08	0.34	1	0.00105286	8.58312e-05	4.704	9.78475e-08	4.48202e-09	2.652
15:01:24	387.25	0.34	2	0.00289156	0.000232697	4.608	9.72072e-08	4.19098e-09	2.472
15:01:34	387.42	0.28	3	0.00183488	0.000144959	4.572	9.6858e-08	4.01636e-09	2.4
15:01:44	387.59	0.36	1	0.00104142	8.58312e-05	4.758	9.78475e-08	4.54023e-09	2.67
15:01:54	387.75	0.28	2	0.00284959	0.000228883	4.614	9.72072e-08	4.19098e-09	2.472
15:02:04	387.93	0.34	3	0.00180245	0.000143052	4.542	9.69162e-08	4.01636e-09	2.4
15:02:14	388.09	0.32	1	0.00102807	8.39238e-05	4.716	9.78475e-08	4.48202e-09	2.652
15:02:24	388.26	0.34	2	0.00280763	0.000226975	4.65	9.72072e-08	4.19098e-09	2.49
15:02:34	388.43	0.34	3	0.00177193	0.000141145	4.566	9.69162e-08	4.01636e-09	2.4
15:02:44	388.60	0.32	1	0.00101662	8.39238e-05	4.77	9.78475e-08	4.48202e-09	2.652
15:02:54	388.77	0.32	2	0.00276567	0.000223161	4.65	9.72655e-08	4.19098e-09	2.49
15:03:04	388.94	0.32	3	0.00174142	0.000139237	4.596	9.69744e-08	4.01636e-09	2.4
15:03:15	389.10	0.30	1	0.00100709	8.20165e-05	4.722	9.79057e-08	4.54023e-09	2.67
15:03:25	389.27	0.28	2	0.00272371	0.000221253	4.65	9.73237e-08	4.19098e-09	2.49
15:03:35	389.44	0.36	3	0.0017109	0.000135423	4.566	9.69744e-08	4.01636e-09	2.4
15:03:45	389.61	0.28	1	0.000995643	8.20165e-05	4.782	9.79057e-08	4.54023e-09	2.67
15:03:55	389.78	0.30	2	0.00268175	0.000217439	4.65	9.73237e-08	4.24919e-09	2.508
15:04:05	389.95	0.32	3	0.00168038	0.000133515	4.59	9.69744e-08	4.13277e-09	2.442
15:04:15	390.11	0.38	1	0.000984199	8.01091e-05	4.74	9.79057e-08	4.54023e-09	2.67
15:04:25	390.29	0.38	2	0.00263979	0.000213624	4.65	9.73819e-08	4.24919e-09	2.508
15:04:35	390.45	0.32	3	0.00164986	0.000131608	4.56	9.70326e-08	4.13277e-09	2.436
15:04:45	390.62	0.32	1	0.000974659	8.01091e-05	4.788	9.79057e-08	4.54023e-09	2.67
15:04:55	390.79	0.32	2	0.00259973	0.000209809	4.656	9.73237e-08	4.24919e-09	2.508
15:05:05	390.96	0.34	3	0.00161935	0.000129701	4.59	9.70326e-08	4.13277e-09	2.436
15:05:16	391.12	0.30	1	0.000963215	7.82018e-05	4.746	9.79057e-08	4.54023e-09	2.67
15:05:26	391.29	0.32	2	0.00255777	0.000207902	4.656	9.73819e-08	4.24919e-09	2.508
15:05:36	391.46	0.36	3	0.00158883	0.000127793	4.614	9.70908e-08	4.13277e-09	2.436
15:05:46	391.63	0.32	1	0.000949863	7.82018e-05	4.806	9.79057e-08	4.59843e-09	2.688
15:05:56	391.80	0.38	2	0.00251772	0.000204087	4.656	9.73819e-08	4.24919e-09	2.526
15:06:06	391.97	0.32	3	0.00155831	0.000123979	4.578	9.70908e-08	4.13277e-09	2.436
15:06:16	392.13	0.28	1	0.000940327	7.82018e-05	4.752	9.79639e-08	4.59843e-09	2.688
15:06:26	392.30	0.36	2	0.00247575	0.00020218	4.692	9.74401e-08	4.24919e-09	2.526
15:06:36	392.47	0.32	3	0.0015297	0.000122071	4.608	9.7149e-08	4.13277e-09	2.454
15:06:46	392.64	0.32	1	0.00093079	7.82018e-05	4.806	9.79639e-08	4.59843e-09	2.688
15:06:56	392.81	0.38	2	0.00243379	0.000198365	4.698	9.74401e-08	4.24919e-09	2.526
15:07:07	392.98	0.32	3	0.00149918	0.000120163	4.638	9.7149e-08	4.13277e-09	2.454
