t,i,x,y,r,theta,xK
1680214498.3978248,2.973737373737374,0.0009461537,-0.002106364,0.002402925,295.2961,0
1680214501.8561907,3.006060606060606,0.0009900231,-0.002011356,0.002197799,294.4123,0
1680214505.3289042,3.0383838383838384,0.0008511031,-0.001952889,0.002153315,293.9282,0
1680214508.776831,3.0707070707070705,0.0008803495,-0.001967506,0.002136179,293.2923,0
1680214512.2382896,3.103030303030303,0.0008730378,-0.001960197,0.002213059,295.525,0
1680214515.7039216,3.1353535353535356,0.0009388421,-0.001974814,0.002167589,295.2334,0
1680214519.1608984,3.1676767676767676,0.0008291684,-0.001887114,0.002070163,294.1548,0
1680214522.6257696,3.2,0.0008730378,-0.001901731,0.002096166,294.3937,0
1680214526.0890963,3.2,0.0008364799,-0.001923656,0.002122824,293.8453,0
1680214529.548225,3.1676767676767676,0.0008511031,-0.001857881,0.00204492,294.0086,0
1680214533.0254502,3.1353535353535356,0.0008876611,-0.001952889,0.002196016,296.2045,0
1680214536.467072,3.103030303030303,0.001011958,-0.001996739,0.002267923,297.1161,0
1680214539.92018,3.070707070707071,0.0009754,-0.001967506,0.002157089,295.6757,0
1680214543.3788514,3.0383838383838384,0.0009680885,-0.001967506,0.002179787,295.7719,0
1680214546.8274348,3.0060606060606063,0.0009095958,-0.001938273,0.002076218,294.4928,0
1680214550.287691,2.973737373737374,0.0009022842,-0.001952889,0.002186622,294.363,0
1680214553.7457116,2.9414141414141417,0.0009022842,-0.001974814,0.002190105,294.8115,0
1680214557.2060277,2.909090909090909,0.0008657263,-0.001960197,0.002125816,295.6891,0
1680214560.661667,2.876767676767677,0.0009900231,-0.002004047,0.002251579,296.0432,0
1680214564.1083002,2.8444444444444446,0.0009680885,-0.001996739,0.002248366,296.047,0
1680214567.5709736,2.8121212121212125,0.001004646,-0.002040589,0.00225493,296.2125,0
1680214571.0296988,2.77979797979798,0.001011958,-0.002033281,0.002248548,295.1018,0
1680214574.4975607,2.7474747474747474,0.0009827116,-0.002004047,0.002229045,295.0909,0
1680214577.939113,2.7151515151515153,0.0009680885,-0.002004047,0.002209282,295.9483,0
1680214581.3890772,2.6828282828282832,0.0009680885,-0.001960197,0.002202962,295.7836,0
1680214584.8775759,2.6505050505050507,0.0009900231,-0.002018664,0.002241767,296.0313,0
1680214588.3738322,2.618181818181818,0.0009607769,-0.001982122,0.002228814,296.3761,0
